mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,230,0,97,17,114,provider,1512,0.074074,0.083333,0.075049,0.0,0.0,[],"The documents provided are empty, therefore the evidence is insufficient to answer the question.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,230,3,1053,75,1128,provider,2297,0.366667,0.833333,0.838224,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558""]","Carriers of the alcohol aldehyde dehydrogenase deficiency mutation, specifically those homozygous for the null variant (*2*2), drink less alcohol than non-carriers, such as wild-type homozygotes (*1*1) or heterozygotes, due to experiencing adverse symptoms when drinking alcohol. This information is found in Document 2.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,230,5,2155,78,2233,provider,2928,0.380952,0.916667,0.835778,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111""]","Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers. This is supported by Document 2, which states that ""Individuals homozygous for the null variant (*2*2) experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type homozygotes (*1*1) or heterozygotes.""",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,230,7,2975,80,3055,provider,2439,0.231884,0.666667,0.791701,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106"", ""980196""]","The evidence is sufficient to answer the question. According to Document 2, individuals who are homozygous for the null variant (*2*2) of the ALDH2 gene, which encodes a major enzyme involved in alcohol metabolism, experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type homozygotes (*1*1) or heterozygotes. This",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,230,10,4040,80,4120,provider,2477,0.231884,0.666667,0.81085,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106"", ""980196"", ""38028419"", ""11742219"", ""5939172""]","The evidence is sufficient to answer the question. According to Document 2, individuals homozygous for the null variant (*2*2) of the ALDH2 gene, which encodes a major enzyme involved in alcohol metabolism, experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type homozygotes (*1*1) or heterozygotes. This suggests that",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,230,7,2975,80,3055,provider,2222,0.246575,0.75,0.786018,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106"", ""980196""]","The evidence is sufficient to answer the question. According to Document 2, individuals who are homozygous for the null variant (*2*2) of the ALDH2 gene, which encodes an enzyme involved in alcohol metabolism, experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than those with other genotypes. This suggests that carriers of the alcohol aldehyde dehydrogenase",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,230,6,2489,78,2567,provider,2242,0.380952,0.916667,0.835778,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106""]","Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers. This is supported by Document 2, which states that ""Individuals homozygous for the null variant (*2*2) experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type homozygotes (*1*1) or heterozygotes.""",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,230,3,586,80,666,provider,2295,0.314286,0.833333,0.828716,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558""]","The evidence is sufficient to answer the question. According to Document 2, individuals who are homozygous for the null variant of the ALDH2 gene (*2*2) experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than non-carriers (wild-type homozygotes *1*1 or heterozygotes). This suggests that carriers of the alcohol aldehyde de",False,,666,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,230,6,1062,80,1142,provider,2366,0.347826,0.916667,0.790557,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106""]","The evidence is sufficient to answer the question. According to Document 2, individuals who are carriers of the alcohol aldehyde dehydrogenase deficiency mutation, specifically those homozygous for the null variant (*2*2), ""experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol"" than non-carriers, such as wild-type homozygotes (*1*1) or heter",False,,1142,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,230,6,1062,80,1142,provider,2245,0.347826,0.916667,0.790557,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106""]","The evidence is sufficient to answer the question. According to Document 2, individuals who are carriers of the alcohol aldehyde dehydrogenase deficiency mutation, specifically those homozygous for the null variant (*2*2), ""experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol"" than non-carriers, such as wild-type homozygotes (*1*1) or heter",False,ultra_route:claim_or_focused_evidence,1142,0
