mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_3_full,Fixed Small Context,fixed_3,full,asqa_50,3,504,81,585,provider,2791,0.537037,0.71875,0.877402,0.39038,1.0,"[""asqa_67897a6050db8171"", ""asqa_b4e1814cdefba6e3"", ""asqa_04253c06e75064e1""]","The movie ""10 Things I Hate About You"" takes place in a late-1990s American high school setting. More specifically, much of the filming took place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma. However, the story itself is set in a high school, but the exact location of the high school in the story is not specified in the documents.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,asqa_50,5,677,28,705,provider,1593,0.548387,0.4375,0.773016,0.709527,1.0,"[""asqa_67897a6050db8171"", ""asqa_b4e1814cdefba6e3"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_0e6720e9f634acbd""]","The movie ""10 Things I Hate About You"" takes place in the Seattle area, at a high school called Padua High School.",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,asqa_50,10,1119,25,1144,provider,1677,0.508475,0.4375,0.766086,0.848583,1.0,"[""asqa_67897a6050db8171"", ""asqa_b4e1814cdefba6e3"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_0e6720e9f634acbd"", ""asqa_e0e86257b0ee9424"", ""asqa_2e6b7671a7bb5df0"", ""asqa_35be121d8e6e2560"", ""asqa_83f8e13ab3087b5f"", ""asqa_889de22936718036""]","The movie ""10 Things I Hate About You"" takes place in the Seattle area, specifically at Padua High School.",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,asqa_50,9,986,28,1014,provider,1744,0.548387,0.4375,0.773016,0.848583,1.0,"[""asqa_67897a6050db8171"", ""asqa_b4e1814cdefba6e3"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_0e6720e9f634acbd"", ""asqa_e0e86257b0ee9424"", ""asqa_2e6b7671a7bb5df0"", ""asqa_35be121d8e6e2560"", ""asqa_83f8e13ab3087b5f""]","The movie ""10 Things I Hate About You"" takes place in the Seattle area, at a high school called Padua High School.",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,asqa_50,3,366,69,435,provider,2412,0.428571,0.53125,0.846575,0.39038,1.0,"[""asqa_67897a6050db8171"", ""asqa_b4e1814cdefba6e3"", ""asqa_04253c06e75064e1""]","The movie ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma. This information is provided in both Document 1 and Document 2. Note that Document 3 refers to a TV series with the same name, but the question appears to be about the movie.",False,,435,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,asqa_50,3,366,44,410,provider,1977,0.473684,0.5,0.875825,0.39038,1.0,"[""asqa_67897a6050db8171"", ""asqa_b4e1814cdefba6e3"", ""asqa_04253c06e75064e1""]","The movie ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma. This information is present in both Document 1 and Document 2.",False,safe_route:long_answer_setting,410,0
fixed_3_full,Fixed Small Context,fixed_3,full,asqa_51,3,355,93,448,provider,3125,0.380435,0.275362,0.732952,0.539003,1.0,"[""asqa_099df353c21b5ccb"", ""asqa_5518d99cde2b5c14"", ""asqa_ad0bd75af48397c0""]","The provided documents do not mention Shania Twain's tour dates in Ottawa or the opening act for a specific concert in Ottawa. While Document 1 mentions Bastian Baker as the opening act for the Now Tour, and Document 2 mentions Wes Mack as the opening act for the Rock This Country farewell tour, neither document provides information about a specific concert in Ottawa. Therefore, the evidence is insufficient to determine who is opening for Shania Twain in Ottawa.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,asqa_51,5,509,62,571,provider,2583,0.374194,0.275362,0.765655,0.745791,1.0,"[""asqa_099df353c21b5ccb"", ""asqa_5518d99cde2b5c14"", ""asqa_ad0bd75af48397c0"", ""asqa_ee7dfe229e1d1300"", ""asqa_15c87742a402b538""]","The evidence is insufficient to determine who is opening for Shania Twain in Ottawa. The documents provided only mention the opening act for the Now Tour (Bastian Baker) and the Rock This Country Tour (Wes Mack), but they do not specify the opening act for a specific concert in Ottawa.",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,asqa_51,10,932,81,1013,provider,2714,0.267442,0.188406,0.684066,0.920205,1.0,"[""asqa_099df353c21b5ccb"", ""asqa_5518d99cde2b5c14"", ""asqa_ad0bd75af48397c0"", ""asqa_ee7dfe229e1d1300"", ""asqa_15c87742a402b538"", ""asqa_11e0a99024ecf24c"", ""asqa_eda04f5fc5f8b595"", ""asqa_5c1420a0f36b8cb3"", ""asqa_d2378803a12f6769"", ""asqa_56164daee7d69668""]","The provided documents do not contain enough information to determine who is opening for Shania Twain in Ottawa. While Document 1 mentions that Bastian Baker was the opening act for all 77 dates of the Now Tour, it does not specifically mention Ottawa. The other documents do not provide any information about the opening act for Shania Twain's tour in Ottawa. Therefore, the evidence is insufficient.",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,asqa_51,7,747,80,827,provider,2817,0.269006,0.188406,0.682591,0.920205,1.0,"[""asqa_099df353c21b5ccb"", ""asqa_5518d99cde2b5c14"", ""asqa_ad0bd75af48397c0"", ""asqa_ee7dfe229e1d1300"", ""asqa_15c87742a402b538"", ""asqa_11e0a99024ecf24c"", ""asqa_eda04f5fc5f8b595""]","The provided documents do not contain enough information to determine who is opening for Shania Twain in Ottawa. While Document 1 mentions that Bastian Baker was the opening act for all 77 dates of the Now Tour, it does not specifically mention Ottawa. The other documents do not provide information about the opening act for Shania Twain's tour in Ottawa. Therefore, the evidence is insufficient.",False,,0,0
