run,dataset,model,retriever,comparison,metric,n,mean_difference,ci_low,ci_high,interpretation
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,answer_f1,100,0.005883,-0.013072,0.023603,positive favors Safe Adaptive
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,answer_coverage,100,-0.007453,-0.027372,0.012536,positive favors Safe Adaptive
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,semantic_similarity,100,-0.004008,-0.017842,0.010227,positive favors Safe Adaptive
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,total_tokens,100,-726.06,-823.46275,-621.871,negative means Safe Adaptive uses fewer tokens
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.586884,0.517167,0.644057,positive means Safe Adaptive saves tokens
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,answer_f1,100,0.023946,0.007943,0.040474,positive favors Safe Adaptive
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,answer_coverage,100,-0.003379,-0.024684,0.016653,positive favors Safe Adaptive
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,semantic_similarity,100,0.000595,-0.011342,0.011692,positive favors Safe Adaptive
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,total_tokens,100,-125.6,-218.4725,-18.19475,negative means Safe Adaptive uses fewer tokens
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive vs Heuristic Rules,token_reduction,100,0.127526,-0.035304,0.251658,positive means Safe Adaptive saves tokens
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,answer_f1,100,0.003922,-0.011781,0.018804,positive favors Safe Adaptive
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,answer_coverage,100,-0.009,-0.034336,0.015548,positive favors Safe Adaptive
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,semantic_similarity,100,0.003259,-0.011396,0.018481,positive favors Safe Adaptive
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,total_tokens,100,-2683.29,-2827.414,-2523.0355,negative means Safe Adaptive uses fewer tokens
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.755649,0.710293,0.783513,positive means Safe Adaptive saves tokens
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,answer_f1,100,0.001846,-0.014085,0.018758,positive favors Safe Adaptive
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,answer_coverage,100,-0.012759,-0.035622,0.008876,positive favors Safe Adaptive
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,semantic_similarity,100,0.00151,-0.011157,0.014867,positive favors Safe Adaptive
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,total_tokens,100,-935.91,-1081.06075,-786.75625,negative means Safe Adaptive uses fewer tokens
bioasq_crossenc_llama70b_final_eval100,BioASQ,Llama-70B,Cross-encoder,Safe Adaptive vs Heuristic Rules,token_reduction,100,0.47685,0.408993,0.530454,positive means Safe Adaptive saves tokens
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,answer_f1,100,-0.001687,-0.014164,0.010078,positive favors Safe Adaptive
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,answer_coverage,100,0.007613,-0.010861,0.027702,positive favors Safe Adaptive
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,semantic_similarity,100,0.004703,-0.003316,0.013241,positive favors Safe Adaptive
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive - Fixed Top-10,total_tokens,100,-1828.08,-1959.14125,-1689.8935,negative means Safe Adaptive uses fewer tokens
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.515438,0.477298,0.553059,positive means Safe Adaptive saves tokens
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,answer_f1,100,-0.006628,-0.021403,0.008241,positive favors Safe Adaptive
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,answer_coverage,100,-0.005417,-0.033185,0.021831,positive favors Safe Adaptive
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,semantic_similarity,100,-0.001072,-0.014433,0.011649,positive favors Safe Adaptive
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive - Heuristic Rules,total_tokens,100,-458.15,-598.27,-313.3405,negative means Safe Adaptive uses fewer tokens
bioasq_llama70b_final_eval100,BioASQ,Llama-70B,TF-IDF,Safe Adaptive vs Heuristic Rules,token_reduction,100,0.146698,0.064414,0.223592,positive means Safe Adaptive saves tokens
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,answer_f1,100,0.082023,0.050284,0.117817,positive favors Safe Adaptive
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,answer_coverage,100,0.100895,0.055156,0.149364,positive favors Safe Adaptive
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,semantic_similarity,100,0.152189,0.113498,0.195128,positive favors Safe Adaptive
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive - Fixed Top-10,total_tokens,100,-1877.25,-2008.204,-1743.613,negative means Safe Adaptive uses fewer tokens
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.484275,0.45099,0.516781,positive means Safe Adaptive saves tokens
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,answer_f1,100,0.006477,-0.02151,0.034157,positive favors Safe Adaptive
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,answer_coverage,100,0.002013,-0.032014,0.038226,positive favors Safe Adaptive
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,semantic_similarity,100,0.012913,-0.013877,0.043261,positive favors Safe Adaptive
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive - Heuristic Rules,total_tokens,100,-548.51,-712.1845,-366.0135,negative means Safe Adaptive uses fewer tokens
bioasq_mistral_final_eval100,BioASQ,Mistral,TF-IDF,Safe Adaptive vs Heuristic Rules,token_reduction,100,0.144642,0.062499,0.220918,positive means Safe Adaptive saves tokens
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,answer_f1,100,-0.013143,-0.047143,0.010857,positive favors Safe Adaptive
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,answer_coverage,100,-0.0075,-0.040125,0.022562,positive favors Safe Adaptive
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,semantic_similarity,100,-0.018806,-0.050508,0.004112,positive favors Safe Adaptive
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive - Fixed Top-10,total_tokens,100,-391.12,-446.21625,-336.42275,negative means Safe Adaptive uses fewer tokens
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive vs Fixed Top-10,token_reduction,100,0.236943,0.209656,0.265273,positive means Safe Adaptive saves tokens
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,answer_f1,100,-0.015643,-0.051,0.015009,positive favors Safe Adaptive
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,answer_coverage,100,-0.011667,-0.055,0.028333,positive favors Safe Adaptive
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,semantic_similarity,100,-0.015715,-0.047982,0.008547,positive favors Safe Adaptive
hotpotqa_crossenc_concise_llama70b_final_eval100,HotpotQA,Llama-70B,Cross-encoder,Safe Adaptive - Heuristic Rules,total_tokens,100,305.01,255.48925,353.82225,negative means Safe Adaptive uses fewer tokens
