mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,msmarco_9658,0,67,28,95,provider,2876,0.0,0.0,0.372658,0.0,0.0,[],"The provided documents do not contain information about the cost to frame a basement. Therefore, I cannot provide an answer based on these documents.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,msmarco_9658,3,448,80,528,provider,7184,0.215385,1.0,0.408752,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4""]","The cost to frame a basement, as per Document 1, ranges between $2.51 - $3.17 per square foot for a basic project in zip code 47474. However, the documents do not provide information on the total cost of framing a complete basement, which includes additional costs such as labor, materials, and finishing work. For a more comprehensive",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,msmarco_9658,5,686,62,748,provider,5101,0.0,0.0,0.223366,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4"", ""msmarco_9658_p3"", ""msmarco_9658_p2""]","The provided documents offer various cost estimates for different aspects of basement projects. However, none of the documents directly provide a specific cost to frame only a basement without additional details such as size or location. Therefore, the evidence is insufficient to determine the exact cost to frame a basement based on the given documents.",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,msmarco_9658,7,929,80,1009,provider,6105,0.241379,1.0,0.458638,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4"", ""msmarco_9658_p3"", ""msmarco_9658_p2"", ""msmarco_9658_p0"", ""msmarco_9842_p6""]","The cost to frame a basement, according to Document 1, ranges between $2.51 - $3.17 per square foot for a basic project of 125 square feet in zip code 47474. However, if you're looking for the overall cost of finishing a basement, as mentioned in Documents 2, 4, 5,",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,msmarco_9658,10,1330,80,1410,provider,7381,0.241379,1.0,0.458638,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4"", ""msmarco_9658_p3"", ""msmarco_9658_p2"", ""msmarco_9658_p0"", ""msmarco_9842_p6"", ""msmarco_9826_p4"", ""msmarco_9909_p6"", ""msmarco_9842_p5""]","The cost to frame a basement, according to Document 1, ranges between $2.51 - $3.17 per square foot for a basic project of 125 square feet in zip code 47474. However, if you're looking for the overall cost of finishing a basement, as mentioned in Documents 2, 4, 5,",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,msmarco_9658,7,929,80,1009,provider,4358,0.241379,1.0,0.458638,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4"", ""msmarco_9658_p3"", ""msmarco_9658_p2"", ""msmarco_9658_p0"", ""msmarco_9842_p6""]","The cost to frame a basement, according to Document 1, ranges between $2.51 - $3.17 per square foot for a basic project of 125 square feet in zip code 47474. However, if you're looking for the overall cost of finishing a basement, as mentioned in Documents 2, 4, 5,",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,msmarco_9658,2,337,80,417,provider,4286,0.212121,1.0,0.402988,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1""]","The cost to frame a basement, according to Document 1, ranges between $2.51 - $3.17 per square foot for a basic project in zip code 47474. However, the documents do not provide information on the total cost of framing a complete basement, including labor and other materials. The cost mentioned in Document 2 for a finished basement ranges",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,msmarco_9658,3,418,80,498,provider,6679,0.109589,0.571429,0.439619,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4""]","The documents provide information about the cost of finishing a basement, but they do not specifically mention the cost to frame only the basement walls. Therefore, the evidence is insufficient to answer your question directly. However, you can estimate the cost based on the provided information. For instance, Document 2 suggests that the cost per square foot for a basement ranges from $10 to $35, and",False,,498,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,msmarco_9658,2,312,80,392,provider,5976,0.029851,0.142857,0.285,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1""]","The provided documents do not explicitly state the cost to frame a basement specifically. However, Document 2 mentions that the cost of a basement is between $10,000 and $35,000, but it does not specify if this includes the cost of framing the basement walls. Therefore, the evidence is insufficient to determine the exact cost to frame a basement.",False,,392,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,msmarco_9658,2,312,80,392,provider,4242,0.029851,0.142857,0.285,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1""]","The provided documents do not explicitly state the cost to frame a basement specifically. However, Document 2 mentions that the cost of a basement is between $10,000 and $35,000, but it does not specify if this includes the cost of framing the basement walls. Therefore, the evidence is insufficient to determine the exact cost to frame a basement.",False,ultra_route:claim_or_focused_evidence,392,0
