mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_416,0,90,30,120,provider,1774,0.188235,0.125,0.711914,0.0,0.0,[],"The provided documents are empty, so the evidence is insufficient to answer the question about how U1 small nuclear RNA could be used in therapeutics.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_416,3,976,80,1056,provider,2970,0.294574,0.3125,0.801166,0.539003,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335""]","U1 small nuclear RNA can be used in therapeutics to correct splice defects caused by mutations in genes. This can be achieved by adapting the sequence of U1 to increase its complementarity to the mutated splice donor site (SDS), allowing it to bind to the SDS and initiate the splice process. This approach has been shown to be effective in correcting aberrant splicing of genes associated with diseases such",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_416,5,1591,80,1671,provider,2263,0.25641,0.270833,0.813999,0.64794,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22362925"", ""bioasq_9860962""]","U1 small nuclear RNA can be used in therapeutics to correct splicing defects caused by mutations in various diseases, including retinitis pigmentosa, Bardet-Biedl syndrome, Haemophilia B, cystic fibrosis, and spinal muscular atrophy. This can be achieved by adapting the sequence of U1 to increase its complementarity to the mutated splice donor site, allowing it to bind",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_416,7,2264,80,2344,provider,2453,0.260163,0.270833,0.798283,0.822354,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22362925"", ""bioasq_9860962"", ""bioasq_22454067"", ""bioasq_20869034""]","U1 small nuclear RNA can be used in therapeutics to correct splicing defects caused by mutations in various diseases, including retinitis pigmentosa, Bardet-Biedl syndrome, and other genetic disorders. This can be achieved by adapting the sequence of U1 to increase its complementarity to the mutated splice donor site, allowing it to correctly recognize and bind to the site, and thereby correcting aberr",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_416,10,3199,80,3279,provider,2364,0.189655,0.1875,0.835001,0.895471,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22362925"", ""bioasq_9860962"", ""bioasq_22454067"", ""bioasq_20869034"", ""bioasq_7513257"", ""bioasq_28855414"", ""bioasq_22454066""]","U1 small nuclear RNA (U1 snRNA) can be used in therapeutics in several ways:

1. **Gene silencing**: U1 Adaptors, which are bifunctional oligonucleotides that bind to U1 snRNA, can be used to inhibit gene expression by targeting specific sequences in the target gene's terminal exon. This can be used to treat diseases caused by over",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_416,3,976,80,1056,provider,2286,0.263566,0.333333,0.799891,0.539003,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335""]","U1 small nuclear RNA can be used in therapeutics to correct splice defects caused by mutations in genes. Specifically, it can be adapted to increase its complementarity to a mutated splice donor site, allowing it to bind to the site and initiate the splice process, thereby correcting aberrant splicing. This approach has been shown to be effective in correcting splice defects in genes associated with diseases such as retinit",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_416,1,330,80,410,provider,2189,0.283186,0.229167,0.810557,0.252943,1.0,"[""bioasq_19219028""]","U1 small nuclear RNA could be used in therapeutics through the use of U1 Adaptors, which are bifunctional oligonucleotides that bind to the U1 small nuclear RNA component of the U1 small nuclear ribonucleoprotein (U1 snRNP) splicing factor. This binding inhibits poly(A)-tail addition, causing degradation of the target RNA species in",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_416,3,684,80,764,provider,2260,0.266667,0.291667,0.87025,0.539003,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335""]","U1 small nuclear RNA can be used in therapeutics by employing it in a gene silencing method or a gene therapeutic approach to correct splice defects. Specifically, it can be used to tether the U1 small nuclear ribonucleoprotein (U1 snRNP) splicing factor to a target pre-mRNA, inhibiting poly(A)-tail addition and causing degradation of the target RNA species",False,,764,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_416,3,339,80,419,provider,2283,0.272727,0.25,0.835227,0.412532,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_28855414""]","U1 small nuclear RNA could be used in therapeutics through a gene silencing method that employs U1 Adaptors, which are bifunctional oligonucleotides that bind to the U1 small nuclear RNA component of the U1 small nuclear ribonucleoprotein (U1 snRNP) splicing factor. By tethering U1 snRNP to the target pre-mRNA",False,,419,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_416,3,339,80,419,provider,2167,0.254545,0.229167,0.823611,0.412532,1.0,"[""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_28855414""]","U1 small nuclear RNA could be used in therapeutics through a gene silencing method. This method employs U1 Adaptors, which are bifunctional oligonucleotides that bind to the U1 small nuclear RNA component of the U1 small nuclear ribonucleoprotein (U1 snRNP) splicing factor. By tethering U1 snRNP to the target pre",False,ultra_route:focused_or_concentrated,419,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_4448,0,88,24,112,provider,1066,0.153846,0.117647,0.146852,0.0,0.0,[],"I'm unable to find the information in the provided documents. Since there are no documents, the evidence is insufficient.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_4448,3,786,16,802,provider,957,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_4448,5,1431,33,1464,provider,1207,0.974359,1.0,0.971796,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911""]",Volanesorsen was approved in the EU in May 2019 for the treatment of adult patients with familial chylomicronemia syndrome (FCS).,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_4448,7,2028,16,2044,provider,896,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911"", ""bioasq_28229309"", ""bioasq_24109197""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_4448,10,2756,16,2772,provider,933,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911"", ""bioasq_28229309"", ""bioasq_24109197"", ""bioasq_23899985"", ""bioasq_31749075"", ""bioasq_32100250""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_4448,7,2028,16,2044,provider,905,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911"", ""bioasq_28229309"", ""bioasq_24109197""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_4448,1,317,16,333,provider,784,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_4448,3,723,33,756,provider,1166,0.974359,1.0,0.971796,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412""]",Volanesorsen was approved in the EU in May 2019 for the treatment of adult patients with familial chylomicronemia syndrome (FCS).,False,,756,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_4448,3,359,16,375,provider,1095,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28229309""]",Volanesorsen was approved in the EU in May 2019.,False,,375,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_4448,3,359,16,375,provider,890,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28229309""]",Volanesorsen was approved in the EU in May 2019.,False,ultra_route:focused_or_concentrated,375,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_2483,0,108,61,169,provider,1819,0.5625,0.842105,0.942787,0.0,0.0,[],"Based on the provided documents, the evidence is insufficient to answer the question. The documents are empty, and there is no information available to determine if the human bombesin receptors, GRPR and NMBR, are frequently overexpressed G-protein-coupled-receptors by lung-cancers.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_2483,3,1222,80,1302,provider,2361,0.481013,0.894737,0.939808,0.493523,1.0,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713""]","The provided documents do not contain sufficient evidence to conclude that the human bombesin receptors, GRPR and NMBR, are frequently overexpressed G-protein-coupled-receptors by lung-cancers.

While Document 1 discusses the presence of bombesin receptors in pulmonary and intestinal carcinoids, it does not specifically address lung cancer. Document 2 mentions lung cancer cells, but it focuses",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_2483,5,2110,80,2190,provider,2361,0.506667,0.894737,0.911258,0.623847,1.0,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713"", ""bioasq_20438784"", ""bioasq_21347402""]","The evidence is insufficient to determine if the human bombesin receptors, GRPR and NMBR, are frequently overexpressed G-protein-coupled-receptors by lung-cancers.

While Document 1 discusses the presence of bombesin receptors in pulmonary and intestinal carcinoids, and Document 2 mentions the investigation of nonpeptide analogs as BRS-3 antagonists using lung cancer",False,,0,0
