mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,5a8e1027554299653c1aa15f,0,162,6,168,provider,1218,0.571429,0.5,0.779154,0.0,0.0,[],2008 Big 12,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,5a8e1027554299653c1aa15f,3,532,6,538,provider,660,0.857143,0.75,0.801323,0.386853,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team""]",2009 Big 12,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,5a8e1027554299653c1aa15f,5,822,6,828,provider,542,0.285714,0.25,0.704662,0.386853,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team""]",2011 Pac-12,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,5a8e1027554299653c1aa15f,7,1064,6,1070,provider,621,0.857143,0.75,0.801323,0.591235,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season""]",2009 Big 12,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,5a8e1027554299653c1aa15f,10,1633,6,1639,provider,592,0.857143,0.75,0.801323,0.591235,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team""]",2009 Big 12,False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,5a8e1027554299653c1aa15f,5,822,6,828,provider,693,0.285714,0.25,0.704662,0.386853,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team""]",2011 Pac-12,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,5a8e1027554299653c1aa15f,1,256,4,260,provider,1415,0.0,0.0,0.083725,0.0,0.0,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference""]",insufficient evidence,False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,5a8e1027554299653c1aa15f,10,1224,6,1230,provider,594,0.857143,0.75,0.801323,0.591235,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team""]",2009 Big 12,False,,1230,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,5a8e1027554299653c1aa15f,3,449,6,455,provider,557,0.857143,0.75,0.801323,0.386853,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team""]",2009 Big 12,False,,455,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,5a8e1027554299653c1aa15f,10,1224,6,1230,provider,782,0.857143,0.75,0.801323,0.591235,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team""]",2009 Big 12,False,safe_route:concise_distributed_or_bridge,1230,0
no_retrieval_full,No Retrieval,no_retrieval,full,5ab84bf555429916710eb01f,0,149,4,153,provider,1819,0.0,0.0,0.101144,0.0,0.0,[],128 hypermarkets,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,5ab84bf555429916710eb01f,3,597,4,601,provider,551,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)""]",Insufficient evidence,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,5ab84bf555429916710eb01f,5,832,4,836,provider,808,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra""]",Insufficient evidence,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,5ab84bf555429916710eb01f,7,969,4,973,provider,696,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia""]",Insufficient evidence,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,5ab84bf555429916710eb01f,10,1624,4,1628,provider,534,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia"", ""5ab84bf555429916710eb01f::doc_0::Selver"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_1::Holiday Inn Lake Buena Vista Downtown""]",Insufficient evidence,False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,5ab84bf555429916710eb01f,7,969,4,973,provider,856,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia""]",Insufficient evidence,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,5ab84bf555429916710eb01f,1,244,4,248,provider,590,0.0,0.0,0.017505,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9""]",165 hypermarkets,False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,5ab84bf555429916710eb01f,10,1093,4,1097,provider,798,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia"", ""5ab84bf555429916710eb01f::doc_0::Selver"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_1::Holiday Inn Lake Buena Vista Downtown""]",insufficient evidence,False,,1097,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,5ab84bf555429916710eb01f,4,474,4,478,provider,686,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center""]",Insufficient evidence,False,,478,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,5ab84bf555429916710eb01f,10,1093,4,1097,provider,594,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia"", ""5ab84bf555429916710eb01f::doc_0::Selver"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_1::Holiday Inn Lake Buena Vista Downtown""]",insufficient evidence,False,safe_route:concise_distributed_or_bridge,1097,0
no_retrieval_full,No Retrieval,no_retrieval,full,5a77724455429972597f153e,0,139,5,144,provider,793,1.0,1.0,1.0,0.0,0.0,[],Indianapolis Motor Speedway,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,5a77724455429972597f153e,3,770,5,775,provider,662,1.0,1.0,1.0,0.0,0.0,"[""5a77724455429972597f153e::doc_1::Carolina Dodge Dealers 400"", ""5a77724455429972597f153e::doc_4::Lean Horse Ultramarathon"", ""5a77724455429972597f153e::doc_0::Subway 400""]",Indianapolis Motor Speedway,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,5a77724455429972597f153e,5,1010,5,1015,provider,627,1.0,1.0,1.0,0.0,0.0,"[""5a77724455429972597f153e::doc_1::Carolina Dodge Dealers 400"", ""5a77724455429972597f153e::doc_4::Lean Horse Ultramarathon"", ""5a77724455429972597f153e::doc_0::Subway 400"", ""5a77724455429972597f153e::doc_8::1964 Armstrong 500"", ""5a77724455429972597f153e::doc_9::Allison Transmission""]",Indianapolis Motor Speedway,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,5a77724455429972597f153e,7,1351,5,1356,provider,664,1.0,1.0,1.0,0.0,0.0,"[""5a77724455429972597f153e::doc_1::Carolina Dodge Dealers 400"", ""5a77724455429972597f153e::doc_4::Lean Horse Ultramarathon"", ""5a77724455429972597f153e::doc_0::Subway 400"", ""5a77724455429972597f153e::doc_8::1964 Armstrong 500"", ""5a77724455429972597f153e::doc_9::Allison Transmission"", ""5a77724455429972597f153e::doc_5::Orange County Fair Speedway"", ""5a77724455429972597f153e::doc_2::Louis Schwitzer Award""]",Indianapolis Motor Speedway,False,,0,0
