retriever,query_id,ranked_doc_ids,scores,ndcg_at_10,mrr_at_10,recall_at_10
tfidf,5a8e1027554299653c1aa15f,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team""]","[0.46579, 0.435768, 0.427201, 0.422523, 0.410019, 0.383352, 0.380067, 0.363396, 0.352439, 0.339194]",0.591235,0.5,1.0
tfidf,5ab84bf555429916710eb01f,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia"", ""5ab84bf555429916710eb01f::doc_0::Selver"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_1::Holiday Inn Lake Buena Vista Downtown""]","[0.32003, 0.224267, 0.201978, 0.194812, 0.186282, 0.176411, 0.140194, 0.133616, 0.124232, 0.120864]",0.613147,1.0,0.5
tfidf,5a77724455429972597f153e,"[""5a77724455429972597f153e::doc_1::Carolina Dodge Dealers 400"", ""5a77724455429972597f153e::doc_4::Lean Horse Ultramarathon"", ""5a77724455429972597f153e::doc_0::Subway 400"", ""5a77724455429972597f153e::doc_8::1964 Armstrong 500"", ""5a77724455429972597f153e::doc_9::Allison Transmission"", ""5a77724455429972597f153e::doc_5::Orange County Fair Speedway"", ""5a77724455429972597f153e::doc_2::Louis Schwitzer Award"", ""5ae7a8175542993210983ed8::doc_0::2009 Singapore Grand Prix"", ""5a77724455429972597f153e::doc_7::1957 Indianapolis 500"", ""5ac2659b55429963665199a1::doc_4::10,000 metres""]","[0.414109, 0.368791, 0.297063, 0.292136, 0.263204, 0.252221, 0.239455, 0.236915, 0.22841, 0.194478]",0.184576,0.111111,0.5
tfidf,5a87c13f5542996e4f30890c,"[""5a87c13f5542996e4f30890c::doc_7::Festival Puccini"", ""5a87c13f5542996e4f30890c::doc_9::Jacopo Puccini"", ""5a87c13f5542996e4f30890c::doc_3::Franco Corelli"", ""5a87c13f5542996e4f30890c::doc_2::Gianni Schicchi"", ""5a87c13f5542996e4f30890c::doc_1::La Boh\u00e8me (1988 film)"", ""5a87c13f5542996e4f30890c::doc_6::Tosca (1956 film)"", ""5a87c13f5542996e4f30890c::doc_8::Cesira Ferrani"", ""5a87c13f5542996e4f30890c::doc_5::La fanciulla del West"", ""5a87c13f5542996e4f30890c::doc_0::Ron Bottcher"", ""5a87c13f5542996e4f30890c::doc_4::O mio babbino caro""]","[0.348225, 0.316804, 0.216141, 0.215341, 0.214154, 0.208808, 0.204642, 0.202584, 0.194109, 0.182261]",0.524981,0.333333,1.0
tfidf,5ab96ab755429970cfb8eacd,"[""5ab96ab755429970cfb8eacd::doc_4::Army (Ellie Goulding song)"", ""5ab96ab755429970cfb8eacd::doc_7::Delirium (Ellie Goulding album)"", ""5ab96ab755429970cfb8eacd::doc_2::Outside (Calvin Harris song)"", ""5ab96ab755429970cfb8eacd::doc_9::List of songs recorded by Ellie Goulding"", ""5ab96ab755429970cfb8eacd::doc_5::Delirium World Tour"", ""5ab96ab755429970cfb8eacd::doc_6::Flashlight (DJ Fresh song)"", ""5ab96ab755429970cfb8eacd::doc_3::On My Mind (Ellie Goulding song)"", ""5ab96ab755429970cfb8eacd::doc_8::Something in the Way You Move"", ""5ab96ab755429970cfb8eacd::doc_0::Halcyon (album)"", ""5ab96ab755429970cfb8eacd::doc_1::Love Me like You Do""]","[0.553886, 0.442052, 0.356423, 0.343559, 0.328061, 0.324487, 0.322131, 0.315064, 0.3135, 0.303119]",0.591235,0.5,1.0
tfidf,5a8a43eb5542996c9b8d5e82,"[""5a8a43eb5542996c9b8d5e82::doc_9::Westminster School, Adelaide"", ""5a8a43eb5542996c9b8d5e82::doc_6::Grace Church School"", ""5a8a43eb5542996c9b8d5e82::doc_8::Grennaskolan"", ""5a8a43eb5542996c9b8d5e82::doc_5::Concho Indian Boarding School"", ""5a8a43eb5542996c9b8d5e82::doc_4::Princeton High School (Illinois)"", ""5a8a43eb5542996c9b8d5e82::doc_0::Sainik School Balachadi, Jamnagar"", ""5ae52c0f5542992663a4f12e::doc_2::Port Charlotte High School"", ""5ae52c0f5542992663a4f12e::doc_5::Sullivan East High School"", ""5ae52c0f5542992663a4f12e::doc_7::Paso Robles High School"", ""5a8a43eb5542996c9b8d5e82::doc_2::Cotter High School (Winona, Minnesota)""]","[0.447069, 0.351828, 0.300485, 0.280981, 0.26965, 0.267487, 0.250682, 0.239738, 0.238017, 0.228387]",0.613147,1.0,0.5
tfidf,5ae73acb5542991e8301cc07,"[""5ae73acb5542991e8301cc07::doc_8::D1NZ"", ""5ae73acb5542991e8301cc07::doc_4::List of The Office (U.S. TV series) characters"", ""5a77152355429966f1a36c2e::doc_9::What Are Little Girls Made Of?"", ""5a77152355429966f1a36c2e::doc_8::What Are Little Boys Made Of?"", ""5ae73acb5542991e8301cc07::doc_5::Night School: the Web Series"", ""5adef80b5542993a75d263c4::doc_2::Snatch (TV series)"", ""5ae73acb5542991e8301cc07::doc_3::Raaz Pichhle Janam Ka"", ""5ae73acb5542991e8301cc07::doc_2::Iron Man (TV series)"", ""5ae73acb5542991e8301cc07::doc_6::Ripley's Believe It or Not! (TV series)"", ""5adef80b5542993a75d263c4::doc_1::Orange Is the New Black""]","[0.250235, 0.170547, 0.166864, 0.138461, 0.137632, 0.135599, 0.123197, 0.117799, 0.114858, 0.113535]",0.613147,1.0,0.5
tfidf,5a7320565542991f9a20c61d,"[""5a7320565542991f9a20c61d::doc_9::Keith Bostic (American football)"", ""5a7320565542991f9a20c61d::doc_3::Keith Bostic"", ""5a7320565542991f9a20c61d::doc_6::Portland State Vikings football under Jerry Glanville"", ""5a7320565542991f9a20c61d::doc_5::Jerry Glanville"", ""5a7320565542991f9a20c61d::doc_2::1987 Pittsburgh Steelers season"", ""5a85fb085542994775f606de::doc_7::Legend (film score)"", ""5a7320565542991f9a20c61d::doc_7::Lucky to Be Alive (Confederate Railroad album)"", ""5aba749055429901930fa7d8::doc_9::CrissCross"", ""5a7320565542991f9a20c61d::doc_0::Ken Herock"", ""5a7bae20554299294a54aa96::doc_6::American Idol (season 12)""]","[0.433215, 0.417052, 0.328335, 0.225236, 0.160958, 0.109195, 0.093332, 0.091861, 0.080751, 0.077588]",0.877215,1.0,1.0
tfidf,5ae32e125542991a06ce9946,"[""5ae32e125542991a06ce9946::doc_5::Kirton, Nottinghamshire"", ""5ae32e125542991a06ce9946::doc_9::Kirton End"", ""5ae32e125542991a06ce9946::doc_4::Kirton, Suffolk"", ""5ae32e125542991a06ce9946::doc_2::2001 Bangladesh census"", ""5ae32e125542991a06ce9946::doc_6::Urbanisation in India"", ""5ae32e125542991a06ce9946::doc_1::Willoughton"", ""5ae32e125542991a06ce9946::doc_7::Sauce Viejo, Argentina"", ""5ae32e125542991a06ce9946::doc_8::Borough of Berwick-upon-Tweed"", ""5ae32e125542991a06ce9946::doc_0::Parkridge, Saskatoon"", ""5ae67dba55429908198fa5f0::doc_4::Memphis metropolitan area""]","[0.48864, 0.425408, 0.40209, 0.335922, 0.301545, 0.296818, 0.277929, 0.25699, 0.247435, 0.237731]",0.386853,0.5,0.5
tfidf,5adc53f75542996e6852530a,"[""5adc53f75542996e6852530a::doc_7::Cypress-pine"", ""5adc53f75542996e6852530a::doc_9::Cypress"", ""5adc53f75542996e6852530a::doc_8::Ajugeae"", ""5adc53f75542996e6852530a::doc_5::Libocedrus"", ""5adc53f75542996e6852530a::doc_2::Ajuga"", ""5adc53f75542996e6852530a::doc_3::Cupressus"", ""5abc0a5d5542993f40c73c64::doc_6::Psycho Realm"", ""5adc53f75542996e6852530a::doc_4::Cedrol"", ""5adc53f75542996e6852530a::doc_0::Fokienia"", ""5adc53f75542996e6852530a::doc_6::Pilgerodendron""]","[0.428642, 0.269996, 0.246421, 0.237271, 0.213153, 0.203562, 0.140915, 0.139854, 0.135244, 0.121875]",0.624051,0.5,1.0
