mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_416,3,1121,80,1201,provider,2364,0.308943,0.333333,0.87888,0.539003,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034""]","U1 small nuclear RNA can be used in therapeutics to correct splicing mutations associated with various genetic disorders. It can be designed to target specific mRNA molecules and carry antisense sequences to modulate splicing patterns or inhibit protein translation. Specifically, U1 snRNA can be used to rescue splicing impaired by mutations at the polypyrimidine tract of the acceptor splice site, at the consensus",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_416,5,1686,80,1766,provider,2394,0.256,0.3125,0.8572,0.745791,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034"", ""bioasq_19219028"", ""bioasq_21326217""]","U1 small nuclear RNA can be used in therapeutics to correct splicing mutations associated with various diseases, such as genetic disorders, cancers, and infectious diseases. It can be used to carry antisense sequences, offering the advantage of long-term effect when delivered to cells using viral vectors. Specifically, U1 snRNA can be designed to target specific mRNA molecules and modulate splicing patterns or inhibit protein",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_416,10,3531,80,3611,provider,2499,0.298246,0.3125,0.903408,0.920205,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034"", ""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22454066"", ""bioasq_25680078"", ""bioasq_18660821"", ""bioasq_15863502""]","U1 small nuclear RNA (snRNA) can be used in therapeutics in several ways:

1. **Splicing modulation**: U1 snRNA can be designed to bind to specific mRNA molecules, modulating splicing patterns or inhibiting protein translation. This can be used to treat genetic disorders, cancers, and infectious diseases.
2. **Exon skipping**: U1 snRNA can be used",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_416,7,2434,80,2514,provider,2424,0.288136,0.3125,0.88077,0.920205,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034"", ""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22454066""]","U1 small nuclear RNA can be used in therapeutics in several ways:

1. **Antisense-mediated splicing modulation**: U1 snRNA can be used to carry antisense sequences to modulate splicing patterns or inhibit protein translation, offering a long-term effect when delivered to cells using viral vectors.
2. **Exon skipping**: U1 snRNA can be designed to skip specific ex",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_416,3,682,80,762,provider,2257,0.325203,0.333333,0.869262,0.539003,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034""]","U1 small nuclear RNA can be used in therapeutics to modulate splicing patterns, particularly for the treatment of genetic disorders. It can be used to carry antisense sequences, offering a long-term effect when delivered to cells using viral vectors. Specifically, U1 snRNA can be used to correct exon skipping caused by mutations at the polypyrimidine tract of the acceptor splice site, at",False,,762,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_416,7,1545,80,1625,provider,2394,0.222222,0.25,0.782463,0.920205,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034"", ""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_21520335"", ""bioasq_22454066""]","U1 small nuclear RNA can be used in therapeutics in several ways:

1. **Antisense-mediated splicing modulation**: U1 small nuclear RNA can be used to carry antisense sequences, which can modulate splicing patterns or inhibit protein translation. This approach has been used to target specific exons, such as exon 51 in the dystrophin gene, to restore dystrophin",False,ultra_route:focused_or_concentrated,1625,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_4448,3,780,16,796,provider,922,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_24410536"", ""bioasq_23605694""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_4448,5,1283,16,1299,provider,991,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_24410536"", ""bioasq_23605694"", ""bioasq_32100250"", ""bioasq_22758911""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_4448,10,2814,33,2847,provider,1516,0.974359,1.0,0.971796,1.0,1.0,"[""bioasq_31301033"", ""bioasq_24410536"", ""bioasq_23605694"", ""bioasq_32100250"", ""bioasq_22758911"", ""bioasq_25750295"", ""bioasq_28589525"", ""bioasq_31100030"", ""bioasq_30194661"", ""bioasq_21456524""]",Volanesorsen was approved in the EU in May 2019 for the treatment of adult patients with familial chylomicronemia syndrome (FCS).,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_4448,1,317,16,333,provider,1049,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
