mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,asqa_50,0,89,27,116,provider,1508,0.295082,0.25,0.518345,0.0,0.0,[],"The provided documents are empty. Therefore, the evidence is insufficient to determine where ""10 Things I Hate About You"" takes place.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,asqa_50,3,345,89,434,provider,2455,0.482759,0.6875,0.858495,0.246302,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1""]","The 1999 film ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma. The documents do not specify the exact location of the story, but they provide information about the filming location. Therefore, based on the provided documents, it can be inferred that the story is set in a high school in the Seattle area, but the exact location is not explicitly stated.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,asqa_50,5,512,45,557,provider,1938,0.657895,0.625,0.90241,0.41443,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f""]","The film ""10 Things I Hate About You"" takes place in a late-1990s American high school setting, with much of the filming occurring in the Seattle metropolitan area, specifically at Stadium High School in Tacoma.",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,asqa_50,7,701,45,746,provider,1480,0.641026,0.5625,0.866186,0.544557,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f"", ""asqa_35be121d8e6e2560"", ""asqa_e0e86257b0ee9424""]","The movie ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma, and the story is set at Padua High School in the Seattle area.",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,asqa_50,10,1079,25,1104,provider,1133,0.508475,0.4375,0.766086,0.667708,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f"", ""asqa_35be121d8e6e2560"", ""asqa_e0e86257b0ee9424"", ""asqa_0e6720e9f634acbd"", ""asqa_b4e1814cdefba6e3"", ""asqa_3a41b1abd5ab14f7""]","The movie ""10 Things I Hate About You"" takes place in the Seattle area, specifically at Padua High School.",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,asqa_50,3,345,54,399,provider,1716,0.564706,0.625,0.881058,0.246302,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1""]","The 1999 film ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma. The documents do not specify the exact location of the story, but they provide information about the filming location.",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,asqa_50,9,986,25,1011,provider,1053,0.508475,0.4375,0.766086,0.667708,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f"", ""asqa_35be121d8e6e2560"", ""asqa_e0e86257b0ee9424"", ""asqa_0e6720e9f634acbd"", ""asqa_b4e1814cdefba6e3""]","The movie ""10 Things I Hate About You"" takes place in the Seattle area, specifically at Padua High School.",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,asqa_50,3,324,39,363,provider,1387,0.527778,0.5,0.859283,0.246302,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1""]","The movie ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma. The evidence is found in Document 2.",False,,363,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,asqa_50,9,968,45,1013,provider,1581,0.641026,0.5625,0.866186,0.667708,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f"", ""asqa_35be121d8e6e2560"", ""asqa_e0e86257b0ee9424"", ""asqa_0e6720e9f634acbd"", ""asqa_b4e1814cdefba6e3""]","The movie ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma, and the story is set at Padua High School in the Seattle area.",False,,1013,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,asqa_50,3,324,39,363,provider,1375,0.527778,0.5,0.859283,0.246302,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1""]","The movie ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, with many scenes shot at Stadium High School in Tacoma. The evidence is found in Document 2.",False,safe_route:long_answer_setting,363,0
no_retrieval_full,No Retrieval,no_retrieval,full,asqa_51,0,89,23,112,provider,908,0.146341,0.115942,0.493871,0.0,0.0,[],The evidence is insufficient. The provided documents do not mention Shania Twain or her opening act in Ottawa.,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,asqa_51,3,360,74,434,provider,2116,0.266667,0.202899,0.675685,0.539003,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538""]","The documents do not specifically mention the opening act for Shania Twain in Ottawa. While Document 2 mentions that Bastian Baker was the opening act for all 77 dates of the Now Tour, it does not provide information about specific cities or venues, including Ottawa. Therefore, the evidence is insufficient to determine who is opening for Shania Twain in Ottawa.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,asqa_51,5,446,74,520,provider,2119,0.289157,0.188406,0.708702,0.745791,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538"", ""asqa_ee7dfe229e1d1300"", ""asqa_eda04f5fc5f8b595""]","The provided documents do not contain information about Shania Twain's current tour or opening act in Ottawa. The documents mention past tours, including the Now Tour, which had Bastian Baker as the opening act, but this information may not be relevant to the current tour. Therefore, the evidence is insufficient to determine who is opening for Shania Twain in Ottawa.",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,asqa_51,7,747,72,819,provider,2082,0.311377,0.246377,0.746162,0.920205,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538"", ""asqa_ee7dfe229e1d1300"", ""asqa_eda04f5fc5f8b595"", ""asqa_5518d99cde2b5c14"", ""asqa_11e0a99024ecf24c""]","The provided documents do not contain enough information to determine who is opening for Shania Twain in Ottawa. The documents mention opening acts for specific tours, such as Bastian Baker for the Now Tour and Wes Mack for the Rock This Country Tour, but they do not provide information about the current or upcoming tour in Ottawa. Therefore, the evidence is insufficient.",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,asqa_51,10,1408,92,1500,provider,2555,0.391061,0.289855,0.792599,0.920205,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538"", ""asqa_ee7dfe229e1d1300"", ""asqa_eda04f5fc5f8b595"", ""asqa_5518d99cde2b5c14"", ""asqa_11e0a99024ecf24c"", ""asqa_49d604ba94345e66"", ""asqa_b6c994d0a3a8f35d"", ""asqa_5c1420a0f36b8cb3""]","The provided documents do not contain information about the current tour or opening act for Shania Twain in Ottawa. The documents mention past tours, such as the Now Tour (2018) with Bastian Baker as the opening act, and the Rock This Country Tour (2015) with Wes Mack as the opening act. However, this information is not relevant to the current tour or date in Ottawa.

Therefore, the evidence is insufficient to answer the question.",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,asqa_51,7,747,72,819,provider,2110,0.335329,0.275362,0.7469,0.920205,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538"", ""asqa_ee7dfe229e1d1300"", ""asqa_eda04f5fc5f8b595"", ""asqa_5518d99cde2b5c14"", ""asqa_11e0a99024ecf24c""]","The provided documents do not contain enough information to determine who is opening for Shania Twain in Ottawa. The documents mention opening acts for specific tours, such as Bastian Baker for the Now Tour and Wes Mack for the Rock This Country Tour, but they do not specify the opening act for a particular concert in Ottawa. Therefore, the evidence is insufficient.",False,,0,0
