run,dataset,model,retriever,method,mode,metric,n,mean,ci_low,ci_high
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive Context,answer_aware_fallback,answer_f1,100,0.416842,0.389945,0.444563
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive Context,answer_aware_fallback,answer_coverage,100,0.41105,0.377883,0.446082
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive Context,answer_aware_fallback,semantic_similarity,100,0.782406,0.758482,0.805028
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Safe Adaptive Context,answer_aware_fallback,total_tokens,100,503.41,417.31825,613.376
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,answer_f1,100,0.422684,0.397252,0.448715
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,answer_coverage,100,0.449051,0.412105,0.487127
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,semantic_similarity,100,0.795465,0.771963,0.817181
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_10_evidence_ngram_neighbors,fixed_10_evidence_ngram_neighbors,total_tokens,100,1107.26,1076.53525,1139.142
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-10,fixed_10_full,answer_f1,100,0.410959,0.382485,0.439209
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-10,fixed_10_full,answer_coverage,100,0.418503,0.387149,0.450969
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-10,fixed_10_full,semantic_similarity,100,0.786414,0.762072,0.809692
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-10,fixed_10_full,total_tokens,100,1229.47,1170.738,1292.50725
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,answer_f1,100,0.417868,0.390193,0.446137
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,answer_coverage,100,0.407669,0.374584,0.442799
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,semantic_similarity,100,0.780357,0.755185,0.803631
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_3_evidence_ngram_neighbors,fixed_3_evidence_ngram_neighbors,total_tokens,100,407.04,390.99725,422.9125
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-3,fixed_3_full,answer_f1,100,0.397971,0.372401,0.424909
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-3,fixed_3_full,answer_coverage,100,0.394838,0.360918,0.426086
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-3,fixed_3_full,semantic_similarity,100,0.771982,0.747436,0.796542
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-3,fixed_3_full,total_tokens,100,421.86,398.64975,446.3715
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,answer_f1,100,0.425843,0.397651,0.454052
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,answer_coverage,100,0.442381,0.408039,0.476371
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,semantic_similarity,100,0.789242,0.763747,0.813291
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_5_evidence_ngram_neighbors,fixed_5_evidence_ngram_neighbors,total_tokens,100,598.85,577.82,620.86525
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-5,fixed_5_full,answer_f1,100,0.404953,0.376116,0.434055
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-5,fixed_5_full,answer_coverage,100,0.41721,0.383208,0.449363
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-5,fixed_5_full,semantic_similarity,100,0.783399,0.75864,0.807103
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-5,fixed_5_full,total_tokens,100,625.05,594.62625,656.40425
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,answer_f1,100,0.417404,0.392379,0.444476
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,answer_coverage,100,0.439532,0.406467,0.472936
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,semantic_similarity,100,0.79568,0.771937,0.816246
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,fixed_7_evidence_ngram_neighbors,fixed_7_evidence_ngram_neighbors,total_tokens,100,795.74,772.1455,819.2305
asqa_llama70b_final_eval100,ASQA,Llama-70B,TF-IDF,Fixed Top-7,fixed_7_full,answer_f1,100,0.407338,0.379054,0.435454
