mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_3_full,Fixed Small Context,fixed_3,full,230,3,1175,80,1255,provider,3746,0.264706,0.75,0.780029,1.0,1.0,"[""3067015"", ""11457219"", ""8892905""]","The evidence is sufficient to answer the question. According to Document 1, individuals who are homozygous for the null variant (*2*2) of the aldehyde dehydrogenase 2 (ALDH2) gene ""experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol"" than those with other genotypes. This suggests that carriers of the alcohol aldehyde dehydrogen",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,230,5,1735,80,1815,provider,3006,0.246154,0.666667,0.773241,1.0,1.0,"[""3067015"", ""11457219"", ""8892905"", ""38028419"", ""45638119""]","The evidence is sufficient to answer the question. According to Document 1, individuals who are homozygous for the null variant of the aldehyde dehydrogenase 2 (ALDH2) gene (*2*2) experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type homozygotes (*1*1) or heterozygotes. This suggests that",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,230,10,3527,80,3607,provider,2855,0.32,1.0,0.84613,1.0,1.0,"[""3067015"", ""11457219"", ""8892905"", ""38028419"", ""45638119"", ""24144677"", ""71625969"", ""24019260"", ""3285322"", ""21323758""]","The evidence is insufficient to directly answer the question. However, Document 1 provides information about individuals with the ALDH2*2*2 genotype, who experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than those with the *1*1 or *1*2 genotypes. This suggests that carriers of the alcohol aldehyde dehydrogenase deficiency mutation may drink less than non-car",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,230,1,584,80,664,provider,2303,0.323529,0.916667,0.863149,1.0,1.0,"[""3067015""]","The evidence is sufficient to answer the question. According to Document 1, individuals who are homozygous for the null variant (*2*2) of the ALDH2 gene, which is associated with alcohol aldehyde dehydrogenase deficiency, ""drink considerably less alcohol"" than those with other genotypes. This suggests that carriers of the alcohol aldehyde dehydrogenase deficiency mutation do",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,230,3,782,80,862,provider,2425,0.358209,0.916667,0.814166,1.0,1.0,"[""3067015"", ""11457219"", ""8892905""]","The evidence is sufficient to answer the question. According to Document 1, individuals who are carriers of the alcohol aldehyde dehydrogenase deficiency mutation, specifically those homozygous for the null variant (*2*2) or heterozygotes, drink considerably less alcohol than non-carriers (wild-type homozygotes *1*1) due to adverse symptoms experienced when drinking alcohol",False,,862,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,230,2,399,80,479,provider,2486,0.285714,0.833333,0.83259,1.0,1.0,"[""3067015"", ""8892905""]","The evidence is insufficient to directly answer the question as it is phrased. However, Document 1 provides information that individuals homozygous for the null variant of the ALDH2 gene (*2*2), which is related to alcohol aldehyde dehydrogenase deficiency, ""drink considerably less alcohol"" than those without this variant. This suggests that carriers of the alcohol aldehyde dehydro",False,ultra_route:claim_or_focused_evidence,479,0
fixed_3_full,Fixed Small Context,fixed_3,full,232,3,1234,66,1300,provider,2035,0.145455,1.0,0.040227,0.63093,0.5,"[""7655029"", ""10536636"", ""29090823""]","The provided documents do not mention cataract as a primary cause of blindness in Southern Sudan. They do, however, indicate that trachoma is a significant cause of blindness in the region. Therefore, the evidence is insufficient to confirm that cataract and trachoma are the primary causes of blindness in Southern Sudan.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,232,5,2151,80,2231,provider,2498,0.111111,1.0,0.064814,0.63093,0.5,"[""7655029"", ""10536636"", ""29090823"", ""8298120"", ""21914176""]","The evidence is insufficient to confirm that cataract and trachoma are the primary causes of blindness in Southern Sudan. While the documents provide information on the prevalence of trachoma in Southern Sudan, they do not provide a comprehensive comparison of the causes of blindness in the region. Document 2 mentions that blindness and low vision are common in Southern Sudan, but it does not specify the primary causes.",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,232,10,3814,80,3894,provider,2588,0.109589,1.0,0.097298,0.63093,0.5,"[""7655029"", ""10536636"", ""29090823"", ""8298120"", ""21914176"", ""4530659"", ""34760396"", ""76776022"", ""457630"", ""1215116""]","The evidence is insufficient to confirm that cataract and trachoma are the primary causes of blindness in Southern Sudan. While the documents provide information on the prevalence of trachoma in Southern Sudan, they do not provide a comprehensive comparison of the causes of blindness in the region. Document 2 mentions that the main causes of blindness and low vision in Southern Sudan are unknown, but it does not provide",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,232,3,1234,66,1300,provider,2014,0.145455,1.0,0.040227,0.63093,0.5,"[""7655029"", ""10536636"", ""29090823""]","The provided documents do not mention cataract as a primary cause of blindness in Southern Sudan. They do, however, indicate that trachoma is a significant cause of blindness in the region. Therefore, the evidence is insufficient to confirm that cataract and trachoma are the primary causes of blindness in Southern Sudan.",False,,0,0
