dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
SciFact,No Retrieval,no_retrieval_full,0.0,0.0,0.274837,0.495251,0.367923,113.0%,67.2%,119.4,96.5%,0.0%
SciFact,Fixed Top-3,fixed_3_full,0.517187,0.505833,0.245145,0.818521,0.544218,100.8%,99.4%,1135.12,66.7%,0.0%
SciFact,Fixed Top-5,fixed_5_full,0.548163,0.523583,0.245099,0.820034,0.540502,100.8%,98.7%,1785.34,47.7%,0.0%
SciFact,Fixed Top-7,fixed_7_full,0.559277,0.528345,0.245033,0.827207,0.547742,100.7%,100.0%,2433.97,28.7%,0.0%
SciFact,Fixed Top-10,fixed_10_full,0.56748,0.530595,0.243247,0.815308,0.547716,100.0%,100.0%,3413.59,0.0%,0.0%
SciFact,Heuristic Rules,heuristic_rules_full,0.548681,0.523798,0.245189,0.819101,0.546372,100.8%,99.8%,2147.67,37.1%,0.0%
SciFact,Adaptive-k,adaptive_k_full,0.491895,0.485833,0.251003,0.818284,0.545321,103.2%,99.6%,858.02,74.9%,0.0%
SciFact,Safe Adaptive Context,answer_aware_fallback,0.525143,0.510083,0.246903,0.82047,0.546241,101.5%,99.7%,1026.84,69.9%,10.0%
SciFact,Coverage-Guided Ultra,coverage_guided_ultra,0.500015,0.48975,0.25395,0.813562,0.552338,104.4%,100.8%,653.15,80.9%,0.0%
SciFact,TACER,task_aware_coverage_ultra,0.500015,0.48975,0.252813,0.81385,0.55417,103.9%,101.2%,653.6,80.9%,0.0%
SciFact,Fixed Top-3,fixed_3_full,0.640479,0.6375,0.24901,0.832253,0.545052,101.1%,99.3%,1211.4,67.7%,0.0%
SciFact,Fixed Top-5,fixed_5_full,0.655171,0.644,0.251202,0.828757,0.547587,102.0%,99.8%,1944.08,48.2%,0.0%
SciFact,Fixed Top-10,fixed_10_full,0.6802,0.653591,0.246389,0.823517,0.548904,100.0%,100.0%,3752.56,0.0%,0.0%
SciFact,Adaptive-k,adaptive_k_full,0.602259,0.605833,0.261691,0.830441,0.548551,106.2%,99.9%,868.04,76.9%,0.0%
SciFact,Safe Adaptive Context,answer_aware_fallback,0.640479,0.6375,0.248663,0.827221,0.549058,100.9%,100.0%,920.85,75.5%,3.5%
SciFact,TACER,task_aware_coverage_ultra,0.620226,0.620833,0.25104,0.815124,0.551125,101.9%,100.4%,656.5,82.5%,0.0%
SciFact,Fixed Top-3,fixed_3_full,0.634527,0.635,0.252087,0.829984,0.547019,101.8%,99.6%,1224.52,67.7%,0.0%
SciFact,Fixed Top-5,fixed_5_full,0.663181,0.64875,0.251716,0.835277,0.544674,101.7%,99.2%,1950.79,48.5%,0.0%
SciFact,Fixed Top-10,fixed_10_full,0.686115,0.657468,0.247615,0.828207,0.549076,100.0%,100.0%,3789.59,0.0%,0.0%
SciFact,Adaptive-k,adaptive_k_full,0.617563,0.619583,0.264054,0.832711,0.549601,106.6%,100.1%,885.53,76.6%,0.0%
SciFact,Safe Adaptive Context,answer_aware_fallback,0.636681,0.63625,0.248906,0.821381,0.550562,100.5%,100.3%,931.03,75.4%,4.5%
SciFact,TACER,task_aware_coverage_ultra,0.642152,0.639583,0.254747,0.835102,0.554197,102.9%,100.9%,677.16,82.1%,0.0%
