mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,msmarco_9658,0,82,22,104,provider,1452,0.0,0.0,0.182271,0.0,0.0,[],"The provided documents are empty. Therefore, the evidence is insufficient to determine the cost to frame a basement.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,msmarco_9658,3,390,80,470,provider,2745,0.208955,1.0,0.353717,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4""]","The cost to frame a basement can be estimated as follows:
- The cost to frame basement walls ranges between $2.51 - $3.17 per square foot, according to Document 1.
- However, this document only provides the cost for framing the basement walls, not the total cost of finishing the basement.
- Document 2 provides a broader estimate, stating that the total",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,msmarco_9658,5,578,80,658,provider,2268,0.191781,1.0,0.415072,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4"", ""msmarco_9658_p3"", ""msmarco_9658_p2""]","The cost to frame a basement can be estimated as between $2.51 - $3.17 per square foot, according to Document 1. This document provides a specific cost range for framing basement walls.

To find the total cost, you would need to know the size of the basement in square feet and multiply it by the cost per square foot. For example, for a 125 square",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,msmarco_9658,7,777,80,857,provider,2286,0.186667,1.0,0.362627,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4"", ""msmarco_9658_p3"", ""msmarco_9658_p2"", ""msmarco_9658_p0"", ""msmarco_9842_p6""]","To determine the cost to frame a basement, we need to look at the provided documents for relevant information.

Document 1 provides a specific cost range for framing basement walls: $2.51 to $3.17 per square foot for a basic 125 square feet project. This document directly addresses the cost of framing basement walls.

The other documents provide costs for finishing a basement or adding a basement",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,msmarco_9658,10,1110,80,1190,provider,2342,0.202899,1.0,0.40943,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4"", ""msmarco_9658_p3"", ""msmarco_9658_p2"", ""msmarco_9658_p0"", ""msmarco_9842_p6"", ""msmarco_9826_p4"", ""msmarco_9909_p6"", ""msmarco_9842_p5""]","The cost to frame a basement can be estimated as $2.51 - $3.17 per square foot, according to Document 1. This document provides a specific estimate for framing basement walls, which is the most relevant information for answering the question.

Therefore, for a basic 125 square feet project, the total cost to frame a basement would be between $2.51 * 125",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,msmarco_9658,7,777,80,857,provider,2273,0.194444,1.0,0.361663,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4"", ""msmarco_9658_p3"", ""msmarco_9658_p2"", ""msmarco_9658_p0"", ""msmarco_9842_p6""]","The cost to frame a basement can be estimated as follows:

For a basic 125 square feet project, the benchmark cost to frame basement walls ranges between $2.51 - $3.17 per square foot.

However, the total cost of framing a basement is not explicitly stated in the documents. To estimate the total cost, we need to know the size of the basement. If we",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,msmarco_9658,2,299,80,379,provider,2396,0.212121,1.0,0.388225,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1""]","The cost to frame a basement can be estimated as follows:
- The cost to frame basement walls ranges between $2.51 - $3.17 per square foot, according to the data from homewyse.com for a 125 square feet project.
- However, the total cost of a basement, including finishing, is estimated to be between $10 and $35 per square foot",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,msmarco_9658,3,352,77,429,provider,2310,0.054795,0.285714,0.162944,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1"", ""msmarco_9658_p4""]","The provided documents do not contain specific information about the cost to frame a basement. Document 1 mentions a calculator for estimating costs for basement wall framing, but it does not provide a specific cost. Documents 2 and 3 discuss the overall cost of a basement, but not the cost of framing specifically. Therefore, the evidence is insufficient to determine the cost to frame a basement.",False,,429,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,msmarco_9658,2,273,80,353,provider,2266,0.025316,0.142857,0.259466,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1""]","The provided documents do not contain enough specific information to estimate the cost to frame a basement. Document 1 mentions a calculator for estimating costs for basement wall framing, but it does not provide the actual costs. Document 2 provides a cost range for a finished basement, but it does not break down the costs to specific components like framing. Therefore, the evidence is insufficient to determine the cost to frame a",False,,353,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,msmarco_9658,2,273,80,353,provider,2189,0.025641,0.142857,0.28252,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p1""]","The provided documents do not contain specific information about the cost to frame a basement. Document 1 mentions a calculator for estimating costs for basement wall framing, but it does not provide a specific cost. Document 2 provides a cost range for finishing a basement, but it does not break down the cost to frame the basement specifically. Therefore, the evidence is insufficient to provide a direct answer to the question.",False,ultra_route:claim_or_focused_evidence,353,0
no_retrieval_full,No Retrieval,no_retrieval,full,msmarco_9794,0,83,12,95,provider,671,0.125,0.142857,0.0,0.0,0.0,[],The provided documents are empty. The evidence is insufficient.,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,msmarco_9794,3,375,33,408,provider,1256,0.2,0.428571,0.47466,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2""]","Elvis sings the key to the highway. The evidence is found in Document 3, which mentions ""Elvis (David) sings Key To The Highway"".",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,msmarco_9794,5,583,72,655,provider,2091,0.089552,0.428571,0.25745,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2"", ""msmarco_9794_p3"", ""msmarco_9794_p7""]","The evidence is insufficient to determine the key in which Elvis sings. The provided documents list various songs by Elvis Presley, but they do not mention the key of the songs. Document 3 mentions ""Key To The Highway"", but it is a song title, not a reference to a musical key. Therefore, the evidence is insufficient to answer the question.",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,msmarco_9794,7,899,80,979,provider,2388,0.184211,1.0,0.333929,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2"", ""msmarco_9794_p3"", ""msmarco_9794_p7"", ""msmarco_9794_p1"", ""msmarco_9794_p6""]","The evidence is insufficient to determine the key in which Elvis sings. The documents provided list various songs recorded by Elvis Presley, but they do not include information about the keys in which he sang those songs. However, Document 3 mentions a song called ""Key To The Highway"", which Elvis (David) sings with Douglas on Guitar, but it does not provide information about the musical key of the song",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,msmarco_9794,10,1181,80,1261,provider,2331,0.053333,0.285714,0.166212,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2"", ""msmarco_9794_p3"", ""msmarco_9794_p7"", ""msmarco_9794_p1"", ""msmarco_9794_p6"", ""msmarco_9794_p0"", ""msmarco_9750_p5"", ""msmarco_9670_p0""]","The evidence is insufficient to determine the key in which Elvis typically sings. While Document 8 mentions that the song ""Jailhouse Rock"" is written in the key of E flat, it does not provide information about the key in which Elvis sings in general. The other documents do not provide relevant information about the key in which Elvis sings. Therefore, the evidence is insufficient to answer the question.",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,msmarco_9794,3,375,37,412,provider,1242,0.162162,0.428571,0.417857,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2""]","Elvis sings in the key of the song ""Key To The Highway"". The exact key is not specified in the documents, but the song title is mentioned in Document 3.",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,msmarco_9794,4,498,76,574,provider,2190,0.085714,0.428571,0.246318,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2"", ""msmarco_9794_p3""]","The evidence is insufficient to determine the key in which Elvis sings. The documents provided list various songs and albums by Elvis Presley, but they do not mention the key of any specific song. However, Document 3 mentions ""Key To The Highway"", which is a song title, not a reference to a musical key. Therefore, the evidence is insufficient to answer the question.",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,msmarco_9794,3,266,26,292,provider,1139,0.214286,0.428571,0.42751,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2""]","Elvis sings in the key of the song ""Key To The Highway"". The document does not specify the actual musical key.",False,,292,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,msmarco_9794,4,351,37,388,provider,1350,0.424242,1.0,0.573983,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2"", ""msmarco_9794_p3""]","Elvis sings ""Key To The Highway"". The evidence is found in Document 3, which mentions ""Elvis (David) sings Key To The Highway with Douglas on Guitar"".",False,,388,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,msmarco_9794,4,351,19,370,provider,871,0.3,0.428571,0.466746,0.5,0.333333,"[""msmarco_9794_p5"", ""msmarco_9794_p4"", ""msmarco_9794_p2"", ""msmarco_9794_p3""]","Elvis sings ""Key To The Highway"". The evidence is found in Document 3.",False,ultra_route:claim_or_focused_evidence,370,0
