mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,230,0,89,80,169,provider,5391,0.387097,0.916667,0.822986,0.0,0.0,[],"The evidence provided in the documents is insufficient to confirm or deny the statement ""Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers."" The documents only discuss the effects of alcohol aldehyde dehydrogenase (ALDH2) deficiency on the metabolism of alcohol and its relation to alcohol-",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,230,3,1223,80,1303,provider,12780,0.363636,0.916667,0.833359,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558""]","The evidence provided suggests that carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers. This is inferred from Document 2, where it is stated that individuals homozygous for the null variant (*2*2) experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type homo",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,230,5,2509,80,2589,provider,16318,0.305085,0.666667,0.843317,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111""]","The provided documents do not directly mention the relationship between carriers of the alcohol aldehyde dehydrogenase deficiency mutation and their drinking habits compared to non-carriers. However, Document 2 does discuss a polymorphism in aldehyde dehydrogenase 2 (ALDH2) that encodes a major enzyme involved in alcohol",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,230,7,3481,80,3561,provider,53900,0.323529,0.833333,0.808919,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106"", ""980196""]","Based on the provided documents, there is evidence that carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers. This is inferred from Document 2, which discusses a systematic review that found an association between this genetic polymorphism and reduced alcohol intake due to adverse symptoms when drinking alcohol. However, the documents",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,230,10,4096,80,4176,provider,59996,0.112676,0.333333,0.529236,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106"", ""980196"", ""38028419"", ""11742219"", ""5939172""]","The texts provided discuss various aspects related to alcohol consumption and its effects on health. Here are some key points:

1. Alcohol sales are associated with an increased risk of serious assault, particularly among young urban men (Document 7).
2. Leptin deficiency due to alcohol-induced reduction in white adipose tissue mass contributes to the pathogenesis of alcohol",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,230,7,3481,80,3561,provider,55176,0.323529,0.833333,0.808919,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106"", ""980196""]","Based on the provided documents, there is evidence that carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers. This is inferred from Document 2, which discusses a systematic review that found an association between this genetic polymorphism and reduced alcohol intake due to adverse symptoms when drinking alcohol. However, the documents",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,230,6,2905,80,2985,provider,10847,0.385965,0.833333,0.861517,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106""]","The documents provided do not directly address the question about carriers of the alcohol aldehyde dehydrogenase deficiency mutation drinking less than non-carriers. However, Document 2 suggests that individuals homozygous for the null variant (*2*2) of the aldehyde dehydrogenase 2 (ALDH2) gene, which",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,230,3,711,80,791,provider,20322,0.40678,0.916667,0.866618,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558""]","The documents provided do not directly state that carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers. However, Document 2 mentions that individuals homozygous for the null variant (*2*2) of the ALDH2 gene, which is associated with alcohol aldehyde dehydrogenase def",False,,791,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,230,6,1310,80,1390,provider,25222,0.352941,0.916667,0.827245,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106""]","The documents provided do not directly state or imply that carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers. However, Document 2 does mention that individuals homozygous for the null variant (*2*2) of this gene experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type",False,,1390,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,230,6,1310,80,1390,provider,10752,0.352941,0.916667,0.827245,0.63093,0.5,"[""26456326"", ""3067015"", ""46437558"", ""52072815"", ""6207111"", ""17236106""]","The documents provided do not directly state or imply that carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less than non-carriers. However, Document 2 does mention that individuals homozygous for the null variant (*2*2) of this gene experience adverse symptoms when drinking alcohol and consequently drink considerably less alcohol than wild-type",False,ultra_route:claim_or_focused_evidence,1390,0
no_retrieval_full,No Retrieval,no_retrieval,full,232,0,82,34,116,provider,4439,0.275862,1.0,0.360967,0.0,0.0,[],The evidence provided in the documents is insufficient to confirm or deny that cataract and trachoma are the primary causes of blindness in Southern Sudan.,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,232,3,1453,80,1533,provider,29658,0.034483,0.25,0.0709,1.0,1.0,"[""10536636"", ""7655029"", ""29090823""]","Based on the provided documents, it appears that both cataract and trachoma are significant causes of blindness in Southern Sudan. However, the documents specifically mention trachoma as a ""serious cause"" (Document 2) and a ""public health problem"" (Document 3), while only implying that blindness and low vision are common without explicitly stating cataract as",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,232,5,2524,80,2604,provider,24203,0.125,1.0,0.076646,1.0,1.0,"[""10536636"", ""7655029"", ""29090823"", ""457630"", ""21914176""]","Based on the provided documents, it is evident that trachoma is a significant cause of blindness in Southern Sudan, as documented in Documents 2 and 3. However, there is insufficient evidence to confirm that cataract is also a primary cause of blindness in Southern Sudan, as stated in the question. The documents only mention cataract as a global leading cause",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,232,7,4011,80,4091,provider,26044,0.1,0.75,0.07682,1.0,1.0,"[""10536636"", ""7655029"", ""29090823"", ""457630"", ""21914176"", ""34760396"", ""13619127""]","Based on the provided documents, it appears that trachoma is a significant cause of blindness in Southern Sudan, as documented in Documents 2, 3, and 6. However, there is no direct evidence in the provided documents that cataracts are the primary cause of blindness in Southern Sudan. The document titled ""Variations and Trends in Health Burden",False,,0,0
