mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,asqa_50,0,76,25,101,provider,1538,0.271186,0.21875,0.675204,0.0,0.0,[],"The provided documents do not contain information about where the movie ""10 Things I Hate About You"" takes place.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,asqa_50,3,397,36,433,provider,4390,0.545455,0.46875,0.802533,0.246302,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1""]","The evidence suggests that the movie ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, specifically at Stadium High School in Tacoma.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,asqa_50,5,604,54,658,provider,4467,0.589744,0.65625,0.853249,0.41443,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f""]","The provided documents indicate that ""10 Things I Hate About You"" is a 1999 American romantic comedy film directed by Gil Junger, and it takes place in the Seattle metropolitan area, specifically at Stadium High School in Tacoma.",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,asqa_50,7,834,40,874,provider,4359,0.507463,0.46875,0.736586,0.544557,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f"", ""asqa_35be121d8e6e2560"", ""asqa_e0e86257b0ee9424""]","The provided documents indicate that ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, specifically at Stadium High School in Tacoma. (Document 2)",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,asqa_50,10,1273,38,1311,provider,6169,0.545455,0.5,0.774656,0.667708,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f"", ""asqa_35be121d8e6e2560"", ""asqa_e0e86257b0ee9424"", ""asqa_0e6720e9f634acbd"", ""asqa_b4e1814cdefba6e3"", ""asqa_3a41b1abd5ab14f7""]","The provided documents indicate that ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, specifically at Padua High School in Tacoma, Washington.",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,asqa_50,3,397,36,433,provider,2505,0.545455,0.46875,0.802533,0.246302,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1""]","The evidence suggests that the movie ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, specifically at Stadium High School in Tacoma.",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,asqa_50,9,1168,31,1199,provider,8046,0.557377,0.46875,0.757812,0.667708,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f"", ""asqa_35be121d8e6e2560"", ""asqa_e0e86257b0ee9424"", ""asqa_0e6720e9f634acbd"", ""asqa_b4e1814cdefba6e3""]","The 10 Things I Hate About You takes place in the Seattle metropolitan area, specifically at Padua High School in Tacoma.",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,asqa_50,3,386,37,423,provider,4201,0.567164,0.5,0.851874,0.246302,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1""]","The provided documents indicate that the film ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, specifically at Stadium High School in Tacoma.",False,,423,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,asqa_50,9,1203,34,1237,provider,9760,0.53125,0.46875,0.767423,0.667708,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1"", ""asqa_336f6627f4940807"", ""asqa_83f8e13ab3087b5f"", ""asqa_35be121d8e6e2560"", ""asqa_e0e86257b0ee9424"", ""asqa_0e6720e9f634acbd"", ""asqa_b4e1814cdefba6e3""]","The evidence suggests that 10 Things I Hate About You takes place in the Seattle metropolitan area, specifically at Padua High School in Tacoma.",False,,1237,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,asqa_50,3,386,37,423,provider,4298,0.567164,0.5,0.851874,0.246302,0.5,"[""asqa_2e6b7671a7bb5df0"", ""asqa_67897a6050db8171"", ""asqa_04253c06e75064e1""]","The provided documents indicate that the film ""10 Things I Hate About You"" takes place in the Seattle metropolitan area, specifically at Stadium High School in Tacoma.",False,safe_route:long_answer_setting,423,0
no_retrieval_full,No Retrieval,no_retrieval,full,asqa_51,0,75,24,99,provider,1525,0.113821,0.086957,0.429709,0.0,0.0,[],The evidence is insufficient to determine who is opening for Shania Twain in Ottawa from the provided documents.,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,asqa_51,3,396,23,419,provider,3854,0.15,0.130435,0.640574,0.539003,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538""]","The opening act for Shania Twain in Ottawa is Bastian Baker, according to Document 2.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,asqa_51,5,497,21,518,provider,2017,0.118644,0.101449,0.606036,0.745791,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538"", ""asqa_ee7dfe229e1d1300"", ""asqa_eda04f5fc5f8b595""]","Bastian Baker is opening for Shania Twain in Ottawa, according to Document 2.",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,asqa_51,7,846,28,874,provider,4553,0.16129,0.130435,0.599676,0.920205,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538"", ""asqa_ee7dfe229e1d1300"", ""asqa_eda04f5fc5f8b595"", ""asqa_5518d99cde2b5c14"", ""asqa_11e0a99024ecf24c""]","According to the provided documents, Bastian Baker is opening for Shania Twain in Ottawa, as stated in Document 2.",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,asqa_51,10,1609,31,1640,provider,7417,0.173228,0.144928,0.595164,0.920205,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538"", ""asqa_ee7dfe229e1d1300"", ""asqa_eda04f5fc5f8b595"", ""asqa_5518d99cde2b5c14"", ""asqa_11e0a99024ecf24c"", ""asqa_49d604ba94345e66"", ""asqa_b6c994d0a3a8f35d"", ""asqa_5c1420a0f36b8cb3""]","Based on the provided documents, Bastian Baker is opening for Shania Twain in Ottawa. This information can be found in Document 2.",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,asqa_51,7,846,28,874,provider,1602,0.16129,0.130435,0.599676,0.920205,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb"", ""asqa_15c87742a402b538"", ""asqa_ee7dfe229e1d1300"", ""asqa_eda04f5fc5f8b595"", ""asqa_5518d99cde2b5c14"", ""asqa_11e0a99024ecf24c""]","According to the provided documents, Bastian Baker is opening for Shania Twain in Ottawa, as stated in Document 2.",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,asqa_51,2,260,26,286,provider,1471,0.162602,0.130435,0.576244,0.412532,1.0,"[""asqa_ad0bd75af48397c0"", ""asqa_099df353c21b5ccb""]","The evidence suggests that Bastian Baker is opening for Shania Twain in Ottawa, as stated in Document 2.",False,,0,0
