mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_416,3,1121,80,1201,provider,2862,0.308943,0.333333,0.87888,0.539003,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034""]","U1 small nuclear RNA can be used in therapeutics to correct splicing mutations associated with various genetic disorders. It can be designed to target specific mRNA molecules and carry antisense sequences to modulate splicing patterns or inhibit protein translation. Specifically, U1 snRNA can be used to rescue splicing impaired by mutations at the polypyrimidine tract of the acceptor splice site, at the consensus",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_416,5,1686,80,1766,provider,3075,0.256,0.3125,0.8572,0.745791,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034"", ""bioasq_19219028"", ""bioasq_21326217""]","U1 small nuclear RNA can be used in therapeutics to correct splicing mutations associated with various diseases, such as genetic disorders, cancers, and infectious diseases. It can be used to carry antisense sequences, offering the advantage of long-term effect when delivered to cells using viral vectors. Specifically, U1 snRNA can be designed to target specific mRNA molecules and modulate splicing patterns or inhibit protein",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_416,10,3780,80,3860,provider,3217,0.315789,0.333333,0.922284,0.835891,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034"", ""bioasq_19219028"", ""bioasq_21326217"", ""bioasq_22454066"", ""bioasq_25680078"", ""bioasq_28468764"", ""bioasq_21412770"", ""bioasq_21826286""]","U1 small nuclear RNA (snRNA) can be used in therapeutics in several ways:

1. **Splicing modulation**: U1 snRNA can be designed to bind to specific mRNA molecules, modulating splicing patterns or inhibiting protein translation. This can be used to correct splicing defects associated with genetic disorders, cancers, and infectious diseases.
2. **Exon skipping**: U1",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_416,5,1686,80,1766,provider,2897,0.256,0.3125,0.8572,0.745791,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034"", ""bioasq_19219028"", ""bioasq_21326217""]","U1 small nuclear RNA can be used in therapeutics to correct splicing mutations associated with various diseases, such as genetic disorders, cancers, and infectious diseases. It can be used to carry antisense sequences, offering the advantage of long-term effect when delivered to cells using viral vectors. Specifically, U1 snRNA can be designed to target specific mRNA molecules and modulate splicing patterns or inhibit protein",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_416,3,682,80,762,provider,3002,0.267717,0.3125,0.869778,0.539003,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034""]","U1 small nuclear RNA can be used in therapeutics to modulate splicing patterns, specifically to correct exon skipping caused by mutations. It can be used to carry antisense sequences, offering a long-term effect when delivered to cells using viral vectors. Additionally, U1 snRNA can be loaded by complementarity to the normal or mutated donor splice sites to correct exon skipping caused by mutations at the pol",False,,762,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_416,5,1120,80,1200,provider,2922,0.295652,0.333333,0.893269,0.745791,1.0,"[""bioasq_22454067"", ""bioasq_22362925"", ""bioasq_20869034"", ""bioasq_19219028"", ""bioasq_21326217""]","U1 small nuclear RNA can be used in therapeutics in several ways:

1. **Antisense-mediated splicing modulation**: U1 small nuclear RNA can be used to carry antisense sequences, which can modulate splicing patterns or inhibit protein translation, offering a novel therapeutic strategy for genetic disorders, cancers, and infectious diseases.
2. **Therapeutic exon skipping**: U1 snRNA",False,ultra_route:focused_or_concentrated,1200,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_4448,3,973,33,1006,provider,1749,0.974359,1.0,0.971796,1.0,1.0,"[""bioasq_31301033"", ""bioasq_34023541"", ""bioasq_24410536""]",Volanesorsen was approved in the EU in May 2019 for the treatment of adult patients with familial chylomicronemia syndrome (FCS).,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_4448,5,1383,16,1399,provider,1254,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_34023541"", ""bioasq_24410536"", ""bioasq_23605694"", ""bioasq_30378008""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_4448,10,2856,16,2872,provider,1362,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_34023541"", ""bioasq_24410536"", ""bioasq_23605694"", ""bioasq_30378008"", ""bioasq_28589525"", ""bioasq_30194661"", ""bioasq_19882785"", ""bioasq_28929412"", ""bioasq_32266704""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_4448,1,317,16,333,provider,1286,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033""]",Volanesorsen was approved in the EU in May 2019.,False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_4448,3,655,33,688,provider,1754,0.974359,1.0,0.971796,1.0,1.0,"[""bioasq_31301033"", ""bioasq_34023541"", ""bioasq_24410536""]",Volanesorsen was approved in the EU in May 2019 for the treatment of adult patients with familial chylomicronemia syndrome (FCS).,False,,688,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_4448,3,361,16,377,provider,1317,0.642857,0.470588,0.629729,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_32266704""]",Volanesorsen was approved in the EU in May 2019.,False,ultra_route:focused_or_concentrated,377,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_2483,3,1586,80,1666,provider,2818,0.481013,0.894737,0.962574,0.644824,1.0,"[""bioasq_25554218"", ""bioasq_18975117"", ""bioasq_20438784""]","The evidence is insufficient to determine if the human bombesin receptors, GRPR and NMBR, are frequently overexpressed G-protein-coupled-receptors by lung-cancers. While the documents mention the expression of GRPR and NMBR in various cancer types, including lung cancer, they do not provide specific information on the frequency of overexpression of these receptors in lung cancer.",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_2483,5,2785,80,2865,provider,3201,0.48,0.842105,0.952567,0.892211,1.0,"[""bioasq_25554218"", ""bioasq_18975117"", ""bioasq_20438784"", ""bioasq_10545285"", ""bioasq_22828605""]","The evidence is insufficient to conclude that the human bombesin receptors, GRPR and NMBR, are frequently overexpressed G-protein-coupled-receptors by lung-cancers. While Document 4 suggests that GRPR and NMBR are expressed in non-small cell lung carcinoma (NSCLC) cell lines, and Document 2 mentions that GRPR analogs have been used as",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_2483,10,4652,80,4732,provider,3117,0.481013,0.894737,0.96377,0.993078,1.0,"[""bioasq_25554218"", ""bioasq_18975117"", ""bioasq_20438784"", ""bioasq_10545285"", ""bioasq_22828605"", ""bioasq_22703643"", ""bioasq_21060250"", ""bioasq_31117741"", ""bioasq_17600088"", ""bioasq_15868447""]","The evidence is insufficient to conclude that the human bombesin receptors, GRPR and NMBR, are frequently overexpressed G-protein-coupled-receptors by lung-cancers. While some documents mention the expression of GRPR and NMBR in lung cancer cells, there is no comprehensive data to support the claim that they are frequently overexpressed in lung cancers. Document 4 shows",False,,0,0
