dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
ASQA,No Retrieval,no_retrieval_full,0.0,0.0,0.21697,0.167465,0.401594,51.5%,51.5%,113.11,90.5%,0.0%
ASQA,Fixed Top-3,fixed_3_full,0.700285,0.939167,0.397638,0.378596,0.755844,94.3%,96.9%,422.56,64.6%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.784446,0.941417,0.415788,0.413732,0.770819,98.6%,98.8%,645.67,45.9%,0.0%
ASQA,Fixed Top-7,fixed_7_full,0.814437,0.943083,0.411959,0.416574,0.775161,97.7%,99.4%,860.07,28.0%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.832459,0.943708,0.421549,0.419307,0.779894,100.0%,100.0%,1194.48,0.0%,0.0%
ASQA,Heuristic Rules,heuristic_rules_full,0.772155,0.94225,0.410594,0.401821,0.771334,97.4%,98.9%,669.04,44.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.614887,0.93625,0.368112,0.33681,0.730196,87.3%,93.6%,347.94,70.9%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.703077,0.939167,0.401558,0.37973,0.764826,95.3%,98.1%,497.99,58.3%,9.0%
ASQA,Coverage-Guided Ultra,coverage_guided_ultra,0.649432,0.941833,0.382296,0.354035,0.741209,90.7%,95.0%,407.31,65.9%,0.0%
ASQA,TACER,task_aware_coverage_ultra,0.706057,0.939167,0.403627,0.38164,0.763817,95.7%,97.9%,484.4,59.4%,7.0%
ASQA,Fixed Top-3,fixed_3_full,0.778819,0.985,0.41765,0.409386,0.778701,98.5%,99.4%,468.35,64.9%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.867755,0.98625,0.42402,0.429768,0.783787,100.0%,100.0%,687.68,48.4%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.898356,0.98625,0.424214,0.435775,0.783762,100.0%,100.0%,1333.86,0.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.812373,0.98625,0.415177,0.402254,0.778364,97.9%,99.3%,474.69,64.4%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.779659,0.985,0.412086,0.411551,0.780425,97.1%,99.6%,483.24,63.8%,4.0%
ASQA,TACER,task_aware_coverage_ultra,0.78039,0.985,0.418344,0.413872,0.781312,98.6%,99.7%,492.65,63.1%,3.0%
ASQA,Fixed Top-3,fixed_3_full,0.794749,0.985,0.415969,0.409439,0.781881,99.6%,99.8%,456.65,57.2%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.888774,0.98625,0.418641,0.427076,0.784611,100.2%,100.2%,647.54,39.3%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.924695,0.98625,0.417842,0.425609,0.783324,100.0%,100.0%,1066.49,0.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.825496,0.98625,0.414962,0.403715,0.780825,99.3%,99.7%,481.64,54.8%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.798813,0.985,0.414382,0.411775,0.780628,99.2%,99.7%,486.76,54.4%,4.5%
ASQA,TACER,task_aware_coverage_ultra,0.796831,0.985,0.417201,0.410691,0.780995,99.8%,99.7%,485.88,54.4%,5.5%
