annotation_id,dataset,query_id,system,query_text,reference_answer,generated_answer,selected_doc_ids,relevant_doc_ids,auto_answer_f1,auto_answer_coverage,auto_semantic_similarity,total_tokens,fallback_used,fallback_reason,human_correctness,human_failure_type,human_notes
scifact_001_SystemA,scifact,213,System A,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,The evidence is insufficient.,"The evidence is insufficient to conclude that CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery. The provided documents do not contain direct evidence to support or refute this statement. While some documents discuss the relationship between CRP levels and outcomes after cardiac surgery, they do not specifically address the predictive value of CRP for postoperative mortality after CAB","[""27054878"", ""20887554"", ""21048969"", ""750781"", ""40156901"", ""9334631"", ""9846940"", ""13625993"", ""20130904"", ""18872233""]","[""13625993""]",0.117647,1.0,0.127939,4792,False,,,,
scifact_001_SystemB,scifact,213,System B,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,The evidence is insufficient.,"The evidence is insufficient to conclude that CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery. In fact, the provided documents suggest the opposite: that preoperative CRP levels are associated with increased morbidity and mortality after cardiac surgery, including CABG. However, none of the documents explicitly state that CRP is not predictive of post","[""27054878"", ""20887554"", ""21048969""]","[""13625993""]",0.126984,1.0,0.121932,808,False,,,,
scifact_001_SystemC,scifact,213,System C,CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,The evidence is insufficient.,"The evidence is insufficient to conclude that CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery. The provided documents suggest that preoperative CRP levels are associated with increased long-term mortality and morbidity after cardiac surgery, including CABG. However, none of the documents directly address the relationship between CRP and postoperative mortality specifically after CAB","[""27054878"", ""20887554"", ""21048969"", ""750781"", ""40156901"", ""9334631"", ""9846940""]","[""13625993""]",0.125,1.0,0.069773,3432,False,,,,
scifact_002_SystemB,scifact,249,System B,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,The evidence contradicts the claim; CDCA treatment actually increased whole-body energy expenditure.,The evidence is insufficient. None of the provided documents mention Chenodeosycholic acid or its effect on whole-body energy expenditure.,"[""23369842"", ""25050364"", ""9796495""]","[""1568684""]",0.424242,0.5,0.573466,638,False,,,,
scifact_002_SystemC,scifact,249,System C,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,The evidence contradicts the claim; CDCA treatment actually increased whole-body energy expenditure.,"The evidence is insufficient to conclude that Chenodeosycholic acid treatment reduces whole-body energy expenditure. In fact, Document 4 suggests the opposite: that Chenodeoxycholic acid (CDCA) treatment increases whole-body energy expenditure. Therefore, the statement in question is incorrect based on the provided documents.","[""23369842"", ""25050364"", ""9796495"", ""1568684"", ""21993510""]","[""1568684""]",0.315789,0.666667,0.811209,1710,False,,,,
scifact_002_SystemA,scifact,249,System A,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,The evidence contradicts the claim; CDCA treatment actually increased whole-body energy expenditure.,"The evidence is insufficient to conclude that Chenodeosycholic acid treatment reduces whole-body energy expenditure. In fact, Document 4 suggests the opposite: that Chenodeoxycholic acid (CDCA) treatment increases whole-body energy expenditure in healthy female subjects. Therefore, based on the provided documents, the statement is false.","[""23369842"", ""25050364"", ""9796495"", ""1568684"", ""21993510"", ""45154987"", ""1590744"", ""38533515"", ""14865329"", ""13441037""]","[""1568684""]",0.305085,0.666667,0.767199,2806,False,,,,
scifact_003_SystemC,scifact,440,System C,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,The evidence is insufficient.,"The evidence is insufficient. The provided documents do not contain information about Fz/PCP-dependent Pk localizing to the anterior membrane of notochord cells during zebrafish neuralation. While the documents discuss planar cell polarity (PCP) signaling and its role in various developmental processes, they do not specifically mention Fz/PCP-dependent Pk or its localization in zebrafish not","[""18575183"", ""4423559"", ""6729465"", ""30152134"", ""4932668"", ""5944514"", ""39763465""]","[""4423559""]",0.129032,1.0,0.0,1866,False,,,,
scifact_003_SystemA,scifact,440,System A,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,The evidence is insufficient.,The evidence is insufficient. The provided documents do not contain information about Fz/PCP-dependent Pk localizing to the anterior membrane of notochord cells during zebrafish neuralation.,"[""18575183"", ""4423559"", ""6729465"", ""30152134"", ""4932668"", ""5944514"", ""39763465"", ""15472716"", ""20758340"", ""17685207""]","[""4423559""]",0.258065,1.0,0.052074,2872,False,,,,
scifact_003_SystemB,scifact,440,System B,Fz/PCP-dependent Pk localizes to the anterior membrane of notochord cells during zebrafish neuralation.,The evidence is insufficient.,"The evidence is insufficient. The provided documents do not contain information about Fz/PCP-dependent Pk localizing to the anterior membrane of notochord cells during zebrafish neuralation. They discuss planar cell polarity (PCP) signaling in various contexts, including neural tube closure, cochlear development, and congenital heart disease, but do not mention the specific localization of Fz/PCP","[""18575183"", ""4423559"", ""6729465""]","[""4423559""]",0.131148,1.0,0.0,834,False,,,,
scifact_004_SystemC,scifact,475,System C,Glycolysis is one of the primary glycometabolic pathways in cells.,Glycolysis is indeed a primary glycometabolic pathway in cells.,"The provided documents do not explicitly state that glycolysis is one of the primary glycometabolic pathways in cells. However, they do discuss glycolysis as a key metabolic process in various cell types, including cancer cells, macrophages, and hematopoietic cells. 

Documents 1, 2, 3, 4, 5, and 7 mention glycol","[""23576165"", ""195689757"", ""8477699"", ""23148978"", ""8724666"", ""1917068"", ""4423401""]","[""18678095""]",0.241379,0.777778,0.870233,1987,False,,,,
