mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_3_full,Fixed Small Context,fixed_3,full,msmarco_9658,3,368,80,448,provider,3273,0.212121,1.0,0.393341,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p2"", ""msmarco_9658_p4""]","The cost to frame a basement can be estimated as follows:

For a basic project, the cost to frame basement walls ranges between $2.51 - $3.17 per square foot. For a 125 square feet project, the total cost would be between $313.75 and $396.25.

However, for a larger project, including adding moisture control, framing in walls,",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,msmarco_9658,5,578,80,658,provider,3513,0.208955,1.0,0.369119,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p2"", ""msmarco_9658_p4"", ""msmarco_9658_p1"", ""msmarco_9658_p3""]","The cost to frame a basement can be estimated as follows:
- The cost to frame basement walls ranges between $2.51 - $3.17 per square foot for a basic 125 square feet project.
- For a larger project, such as a 1,000 square feet basement, the total cost would be between $2,510 and $3,170 for just the framing",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,msmarco_9658,10,1183,69,1252,provider,3272,0.241379,1.0,0.375441,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p2"", ""msmarco_9658_p4"", ""msmarco_9658_p1"", ""msmarco_9658_p3"", ""msmarco_9658_p0"", ""msmarco_9826_p6"", ""msmarco_9826_p7"", ""msmarco_9826_p1"", ""msmarco_9826_p3""]","The cost to frame a basement can be estimated as follows:

For a basic 125 square feet project, the benchmark cost to frame basement walls ranges between $2.51 - $3.17 per square foot.

Therefore, the cost to frame a basement is between $2.51 and $3.17 per square foot.",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,msmarco_9658,6,686,80,766,provider,3384,0.2,1.0,0.3479,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p2"", ""msmarco_9658_p4"", ""msmarco_9658_p1"", ""msmarco_9658_p3"", ""msmarco_9658_p0""]","The cost to frame a basement can be estimated as follows:

For a basic 125 square feet project, the benchmark cost to frame basement walls ranges between $2.51 - $3.17 per square foot.

However, the total cost of framing a basement is not explicitly stated in the documents. A basic do-it-yourself makeover, including framing in walls, can cost between $10",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,msmarco_9658,3,345,80,425,provider,3371,0.027397,0.142857,0.320286,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p2"", ""msmarco_9658_p4""]","The evidence is insufficient to provide a specific cost to frame a basement. While Document 1 mentions a cost calculator for basement wall framing, it does not provide a specific cost. Document 2 provides a cost range for a basic do-it-yourself basement makeover, which includes framing, but the cost range is $10,000 to $27,000 for the entire project, not just framing. Document",False,,425,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,msmarco_9658,6,707,80,787,provider,3299,0.028571,0.142857,0.284743,1.0,1.0,"[""msmarco_9658_p5"", ""msmarco_9658_p2"", ""msmarco_9658_p4"", ""msmarco_9658_p1"", ""msmarco_9658_p3"", ""msmarco_9658_p0""]","The provided documents do not specifically mention the cost to frame a basement. They discuss the overall cost of finishing a basement, which includes framing, but also other aspects such as moisture control, decor, and furnishings.

Document 2 mentions a basic do-it-yourself makeover, including framing in walls, with a cost between $10,000 and $27,000. However, this is not just",False,ultra_route:claim_or_focused_evidence,787,0
fixed_3_full,Fixed Small Context,fixed_3,full,msmarco_9794,3,414,80,494,provider,3307,0.082192,0.428571,0.28919,1.0,1.0,"[""msmarco_9794_p2"", ""msmarco_9794_p5"", ""msmarco_9794_p0""]","Elvis sings in the key of E flat for the song ""Jailhouse Rock"". Additionally, there is a mention of Elvis singing ""Key To The Highway"" in Document 1, but the key for this specific song is not provided. The key for other songs listed in Document 2 is also not provided. Therefore, the evidence is insufficient to determine the key for all songs sung by Elvis",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,msmarco_9794,5,657,36,693,provider,2999,0.1875,0.428571,0.430248,1.0,1.0,"[""msmarco_9794_p2"", ""msmarco_9794_p5"", ""msmarco_9794_p0"", ""msmarco_9794_p4"", ""msmarco_9794_p3""]","According to Document 1, Elvis sings ""Key To The Highway"". Therefore, the answer to the question ""Elvis sings what key"" is ""Key To The Highway"".",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,msmarco_9794,10,1421,57,1478,provider,2872,0.304348,1.0,0.528172,1.0,1.0,"[""msmarco_9794_p2"", ""msmarco_9794_p5"", ""msmarco_9794_p0"", ""msmarco_9794_p4"", ""msmarco_9794_p3"", ""msmarco_9794_p7"", ""msmarco_9794_p6"", ""msmarco_9794_p1"", ""msmarco_9852_p2"", ""msmarco_9718_p2""]","According to Document 1, Elvis sings ""Key To The Highway"". The document states: ""Elvis (David) sings Key To The Highway with Douglas on Guitar.""

Therefore, the answer to the question ""Elvis sings what key"" is ""Key To The Highway"".",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,msmarco_9794,7,894,79,973,provider,3359,0.054054,0.285714,0.178332,1.0,1.0,"[""msmarco_9794_p2"", ""msmarco_9794_p5"", ""msmarco_9794_p0"", ""msmarco_9794_p4"", ""msmarco_9794_p3"", ""msmarco_9794_p7"", ""msmarco_9794_p6""]","The provided documents do not contain sufficient information to determine the specific key in which Elvis sings. Although Document 3 mentions that the song ""Jailhouse Rock"" is in the key of E flat, it does not provide a general answer to the question of what key Elvis sings in, as this information is specific to one song. Therefore, the evidence is insufficient to provide a definitive answer.",False,,0,0
