mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_3_full,Fixed Small Context,fixed_3,full,5a8e1027554299653c1aa15f,3,774,4,778,provider,634,0.0,0.0,0.083725,0.0,0.0,"[""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_0::2016\u201317 Colorado Buffaloes men's basketball team""]",insufficient evidence,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,5a8e1027554299653c1aa15f,5,1071,6,1077,provider,793,0.285714,0.25,0.704662,0.0,0.0,"[""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_0::2016\u201317 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team""]",2011 Pac-12,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,5a8e1027554299653c1aa15f,10,1741,6,1747,provider,789,0.857143,0.75,0.801323,0.361815,0.111111,"[""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_0::2016\u201317 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season""]",2009 Big 12,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,5a8e1027554299653c1aa15f,9,1661,7,1668,provider,672,0.857143,0.75,0.779169,0.184576,0.111111,"[""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_0::2016\u201317 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team""]","2009, Big 12",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,5a8e1027554299653c1aa15f,10,1236,6,1242,provider,910,0.857143,0.75,0.801323,0.361815,0.111111,"[""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_0::2016\u201317 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season""]",2009 Big 12,False,,1242,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,5a8e1027554299653c1aa15f,10,1236,6,1242,provider,585,0.857143,0.75,0.801323,0.361815,0.111111,"[""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_0::2016\u201317 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season""]",2009 Big 12,False,safe_route:concise_distributed_or_bridge,1242,0
fixed_3_full,Fixed Small Context,fixed_3,full,5ab84bf555429916710eb01f,3,575,6,581,provider,530,0.8,1.0,0.576475,1.0,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_4::Carrefour"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre""]","1,462 hypermarkets",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,5ab84bf555429916710eb01f,5,700,6,706,provider,810,0.8,1.0,0.576475,1.0,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_4::Carrefour"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center""]","1,462 hypermarkets",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,5ab84bf555429916710eb01f,10,1705,6,1711,provider,724,0.8,1.0,0.576475,1.0,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_4::Carrefour"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_0::Selver"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_1::Holiday Inn Lake Buena Vista Downtown"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)""]","1,462 hypermarkets",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,5ab84bf555429916710eb01f,1,244,5,249,provider,607,0.0,0.0,0.250517,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9""]",More than 226,False,,0,0
