mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,5a8e1027554299653c1aa15f,0,154,4,158,provider,3809,0.0,0.0,0.083725,0.0,0.0,[],Insufficient evidence,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,5a8e1027554299653c1aa15f,3,602,4,606,provider,5513,0.0,0.0,0.083725,0.386853,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team""]",Insufficient evidence,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,5a8e1027554299653c1aa15f,5,953,4,957,provider,3142,0.0,0.0,0.083725,0.386853,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team""]",Insufficient evidence,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,5a8e1027554299653c1aa15f,7,1255,4,1259,provider,2720,0.0,0.0,0.083725,0.591235,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season""]",Insufficient evidence,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,5a8e1027554299653c1aa15f,10,1945,5,1950,provider,5839,0.0,0.0,0.079439,0.591235,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team""]",Insufficient evidence.,False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,5a8e1027554299653c1aa15f,5,953,4,957,provider,397,0.0,0.0,0.083725,0.386853,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team""]",Insufficient evidence,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,5a8e1027554299653c1aa15f,1,273,4,277,provider,395,0.0,0.0,0.083725,0.0,0.0,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference""]",Insufficient evidence,False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,5a8e1027554299653c1aa15f,10,1496,5,1501,provider,10204,0.0,0.0,0.079439,0.591235,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team""]",Insufficient evidence.,False,,1501,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,5a8e1027554299653c1aa15f,3,514,4,518,provider,2817,0.0,0.0,0.083725,0.386853,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team""]",Insufficient evidence,False,,518,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,5a8e1027554299653c1aa15f,10,1496,5,1501,provider,10116,0.0,0.0,0.079439,0.591235,0.5,"[""5ab3e45655429976abd1bcd4::doc_3::America East Conference"", ""5a8e1027554299653c1aa15f::doc_2::2009 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_6::2011 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_7::2014 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_3::2015 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_4::2012 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_8::2009 Big 12 Conference football season"", ""5a8e1027554299653c1aa15f::doc_5::1989 Colorado Buffaloes football team"", ""5a8e1027554299653c1aa15f::doc_1::2015\u201316 Colorado Buffaloes men's basketball team"", ""5a8e1027554299653c1aa15f::doc_9::2014\u201315 Colorado Buffaloes men's basketball team""]",Insufficient evidence.,False,safe_route:concise_distributed_or_bridge,1501,0
no_retrieval_full,No Retrieval,no_retrieval,full,5ab84bf555429916710eb01f,0,145,12,157,provider,1157,0.0,0.0,0.0,0.0,0.0,[],Carrefour (insufficient evidence for specific year),False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,5ab84bf555429916710eb01f,3,691,4,695,provider,4468,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)""]",Carrefour,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,5ab84bf555429916710eb01f,5,986,4,990,provider,2658,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra""]",Carrefour,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,5ab84bf555429916710eb01f,7,1172,4,1176,provider,1728,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia""]",Carrefour,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,5ab84bf555429916710eb01f,10,1990,4,1994,provider,6794,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia"", ""5ab84bf555429916710eb01f::doc_0::Selver"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_1::Holiday Inn Lake Buena Vista Downtown""]",Carrefour,False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,5ab84bf555429916710eb01f,7,1172,4,1176,provider,390,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia""]",Carrefour,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,5ab84bf555429916710eb01f,1,262,4,266,provider,386,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9""]",Carrefour,False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,5ab84bf555429916710eb01f,10,1376,4,1380,provider,9334,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia"", ""5ab84bf555429916710eb01f::doc_0::Selver"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_1::Holiday Inn Lake Buena Vista Downtown""]",Carrefour,False,,1380,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,5ab84bf555429916710eb01f,4,574,4,578,provider,3290,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center""]",Carrefour,False,,578,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,5ab84bf555429916710eb01f,10,1376,4,1380,provider,9319,0.0,0.0,0.0,0.613147,1.0,"[""5ab84bf555429916710eb01f::doc_8::Euromarch\u00e9"", ""5ab84bf555429916710eb01f::doc_7::Uno-X"", ""5ab84bf555429916710eb01f::doc_5::John A. Brown (department store)"", ""5ab84bf555429916710eb01f::doc_9::Lewis's"", ""5ab84bf555429916710eb01f::doc_2::Tesco Extra"", ""5ab84bf555429916710eb01f::doc_3::Tazweed Center"", ""5ab47d765542991751b4d78f::doc_7::1991 Mr. Olympia"", ""5ab84bf555429916710eb01f::doc_0::Selver"", ""5ab84bf555429916710eb01f::doc_6::SavaCentre"", ""5ab84bf555429916710eb01f::doc_1::Holiday Inn Lake Buena Vista Downtown""]",Carrefour,False,safe_route:concise_distributed_or_bridge,1380,0
no_retrieval_full,No Retrieval,no_retrieval,full,5a77724455429972597f153e,0,132,6,138,provider,598,1.0,1.0,1.0,0.0,0.0,[],Indianapolis Motor Speedway,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,5a77724455429972597f153e,3,974,5,979,provider,6748,0.0,0.0,0.008154,0.0,0.0,"[""5a77724455429972597f153e::doc_1::Carolina Dodge Dealers 400"", ""5a77724455429972597f153e::doc_4::Lean Horse Ultramarathon"", ""5a77724455429972597f153e::doc_0::Subway 400""]",Insufficient evidence.,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,5a77724455429972597f153e,5,1293,5,1298,provider,3113,0.0,0.0,0.008154,0.0,0.0,"[""5a77724455429972597f153e::doc_1::Carolina Dodge Dealers 400"", ""5a77724455429972597f153e::doc_4::Lean Horse Ultramarathon"", ""5a77724455429972597f153e::doc_0::Subway 400"", ""5a77724455429972597f153e::doc_8::1964 Armstrong 500"", ""5a77724455429972597f153e::doc_9::Allison Transmission""]",Insufficient evidence.,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,5a77724455429972597f153e,7,1704,5,1709,provider,3711,0.0,0.0,0.008154,0.0,0.0,"[""5a77724455429972597f153e::doc_1::Carolina Dodge Dealers 400"", ""5a77724455429972597f153e::doc_4::Lean Horse Ultramarathon"", ""5a77724455429972597f153e::doc_0::Subway 400"", ""5a77724455429972597f153e::doc_8::1964 Armstrong 500"", ""5a77724455429972597f153e::doc_9::Allison Transmission"", ""5a77724455429972597f153e::doc_5::Orange County Fair Speedway"", ""5a77724455429972597f153e::doc_2::Louis Schwitzer Award""]",Insufficient evidence.,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,5a77724455429972597f153e,10,2336,5,2341,provider,5700,0.0,0.0,0.008154,0.184576,0.111111,"[""5a77724455429972597f153e::doc_1::Carolina Dodge Dealers 400"", ""5a77724455429972597f153e::doc_4::Lean Horse Ultramarathon"", ""5a77724455429972597f153e::doc_0::Subway 400"", ""5a77724455429972597f153e::doc_8::1964 Armstrong 500"", ""5a77724455429972597f153e::doc_9::Allison Transmission"", ""5a77724455429972597f153e::doc_5::Orange County Fair Speedway"", ""5a77724455429972597f153e::doc_2::Louis Schwitzer Award"", ""5ae7a8175542993210983ed8::doc_0::2009 Singapore Grand Prix"", ""5a77724455429972597f153e::doc_7::1957 Indianapolis 500"", ""5ac2659b55429963665199a1::doc_4::10,000 metres""]",Insufficient evidence.,False,,0,0
